episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
141,186167,0.0,0.01,2.0,2.01
142,187132,0.0,0.01,-2.0,-1.99
143,188407,0.0,0.01,-2.0,-1.99
144,189161,0.0,0.01,-2.0,-1.99
145,190221,0.0,0.01,2.0,2.01
146,191219,0.0,0.01,-2.0,-1.99
147,192120,0.0,0.01,2.0,2.01
148,192922,-0.3,0.01,2.0,1.71
149,193729,0.0,0.01,2.0,2.01
150,194632,0.0,0.01,-2.0,-1.99
151,195564,0.0,0.01,2.0,2.01
152,196471,0.0,0.01,-2.0,-1.99
153,197431,0.0,0.01,2.0,2.01
154,198522,-0.3,0.01,-2.0,-2.29
155,199362,0.3,0.01,2.0,2.31
156,200225,0.0,0.01,2.0,2.01
157,201276,0.0,1.0,0.01,2.0,3.01
158,202206,0.0,0.01,2.0,2.01
159,202974,0.3,0.01,-2.0,-1.69
160,204117,0.0,1.0,0.01,2.0,3.01
161,204867,0.0,0.01,-2.0,-1.99
162,205673,0.0,0.01,-2.0,-1.99
163,206787,0.0,0.01,2.0,2.01
164,207539,0.3,0.01,2.0,2.31
165,208520,0.0,0.01,-2.0,-1.99
166,209332,0.0,1.0,0.01,2.0,3.01
167,210489,0.0,1.0,0.01,2.0,3.01
168,211543,0.0,0.01,2.0,2.01
169,212395,0.0,0.01,2.0,2.01
170,213192,0.0,0.01,2.0,2.01
171,214124,0.0,0.01,2.0,2.01
172,214872,0.0,0.01,-2.0,-1.99
173,215922,0.0,0.01,2.0,2.01
174,216901,0.0,0.01,-2.0,-1.99
175,217928,0.0,1.0,0.01,2.0,3.01
176,218807,0.0,0.01,-2.0,-1.99
177,219880,0.0,0.01,2.0,2.01
178,220669,0.0,0.01,-2.0,-1.99
179,221560,0.0,0.01,-2.0,-1.99
180,222411,0.0,0.01,2.0,2.01
181,223236,0.0,0.01,-2.0,-1.99
182,224308,-0.3,0.01,2.0,1.71
183,225251,0.0,1.0,0.01,2.0,3.01
184,226183,0.0,1.0,0.01,2.0,3.01
185,226989,0.0,0.01,2.0,2.01
186,227961,-0.3,0.01,-2.0,-2.29
187,228936,0.0,0.01,2.0,2.01
188,229674,0.0,0.01,-2.0,-1.99
189,230667,0.0,0.01,-2.0,-1.99
190,231635,0.0,0.01,2.0,2.01
191,232479,0.0,1.0,0.01,2.0,3.01
192,233296,0.0,0.01,2.0,2.01
193,234100,-0.3,0.01,-2.0,-2.29
194,234854,0.0,0.01,-2.0,-1.99
195,235916,0.0,0.01,2.0,2.01
196,236788,0.0,0.01,-2.0,-1.99
197,237683,0.0,0.01,2.0,2.01
198,238535,0.0,1.0,0.01,2.0,3.01
199,240084,0.0,1.0,0.01,-2.0,-0.99
200,241026,-0.3,0.01,-2.0,-2.29
201,242009,0.0,0.01,2.0,2.01
202,242841,0.0,0.01,2.0,2.01
203,243720,0.0,0.01,2.0,2.01
204,244567,0.0,1.0,0.01,2.0,3.01
205,245501,0.0,1.0,0.01,2.0,3.01
206,246585,0.0,0.01,-2.0,-1.99
207,247719,0.0,1.0,0.01,2.0,3.01
208,248598,0.0,0.01,2.0,2.01
209,249608,0.0,1.0,0.01,2.0,3.01
210,250570,0.0,0.01,2.0,2.01
211,251376,0.0,0.01,-2.0,-1.99
212,252497,0.0,0.01,-2.0,-1.99
213,253537,0.0,0.01,2.0,2.01
214,254532,0.0,0.01,-2.0,-1.99
215,255341,0.0,0.01,2.0,2.01
216,256130,0.0,0.01,2.0,2.01
217,257084,-0.3,0.01,2.0,1.71
218,257924,0.0,0.01,-2.0,-1.99
219,258737,0.0,0.01,2.0,2.01
220,259576,0.0,0.01,-2.0,-1.99
221,260378,0.0,0.01,-2.0,-1.99
222,261151,0.0,1.0,0.01,2.0,3.01
223,262094,0.0,0.01,-2.0,-1.99
224,262999,0.0,0.01,-2.0,-1.99
225,263876,0.0,1.0,0.01,2.0,3.01
226,265013,-0.3,0.01,2.0,1.71
227,265874,0.0,1.0,0.01,2.0,3.01
228,266793,0.0,1.0,0.01,2.0,3.01
229,267833,0.0,0.01,-2.0,-1.99
230,268726,-0.3,0.01,2.0,1.71
231,269564,0.0,0.01,2.0,2.01
232,270361,0.0,0.01,2.0,2.01
