episode,step,dbg2_move_toward,dbg2_survival,dbg2_reward_total
606,662123,0.3,0.01,2.0,2.31
607,663277,0.0,0.01,-2.0,-1.99
608,664413,0.0,1.0,0.01,2.0,3.01
609,665332,0.0,0.01,2.0,2.01
610,666392,0.0,1.0,0.01,2.0,3.01
611,668281,0.0,1.0,0.01,2.0,3.01
612,669865,0.0,0.01,-2.0,-1.99
613,671110,0.0,0.01,2.0,2.01
614,672345,0.0,1.0,0.01,2.0,3.01
615,674173,0.0,0.01,2.0,2.01
616,675719,0.0,1.0,0.01,2.0,3.01
617,676910,0.0,0.01,2.0,2.01
618,678306,0.0,0.01,2.0,2.01
619,679572,0.0,0.01,-2.0,-1.99
620,680765,0.0,0.01,-2.0,-1.99
621,682127,0.0,0.01,2.0,2.01
622,683951,0.0,0.01,2.0,2.01
623,685516,0.0,0.01,2.0,2.01
624,686822,0.0,0.01,-2.0,-1.99
625,687985,0.0,0.01,-2.0,-1.99
626,689224,0.0,0.01,2.0,2.01
627,690835,0.0,0.01,-2.0,-1.99
628,692555,0.0,0.01,-2.0,-1.99
629,694052,0.0,0.01,-2.0,-1.99
630,695508,0.0,0.01,-2.0,-1.99
631,696676,0.0,0.01,-2.0,-1.99
632,698333,0.0,0.01,-2.0,-1.99
633,699752,0.0,0.01,2.0,2.01
634,701186,0.0,0.01,-2.0,-1.99
635,702625,0.0,0.01,2.0,2.01
636,704492,0.0,0.01,-2.0,-1.99
637,705986,0.0,0.01,-2.0,-1.99
638,707098,0.0,0.01,-2.0,-1.99
639,708920,0.0,0.01,2.0,2.01
640,710210,0.0,0.01,-2.0,-1.99
641,711143,0.0,0.01,-2.0,-1.99
642,712256,0.0,0.01,-2.0,-1.99
643,713430,0.0,0.01,2.0,2.01
644,714636,0.0,0.01,-2.0,-1.99
645,715637,0.0,0.01,2.0,2.01
646,717309,0.0,0.01,-2.0,-1.99
647,718478,0.0,1.0,0.01,2.0,3.01
648,719830,0.0,0.01,2.0,2.01
649,720864,0.0,1.0,0.01,2.0,3.01
650,721997,0.0,0.01,2.0,2.01
651,723144,0.0,0.01,-2.0,-1.99
652,724438,0.0,0.01,-2.0,-1.99
653,725923,0.0,0.01,-2.0,-1.99
654,726891,0.0,0.01,-2.0,-1.99
655,727714,0.0,1.0,0.01,2.0,3.01
656,729103,0.0,0.01,-2.0,-1.99
657,730223,0.0,0.01,-2.0,-1.99
658,731112,0.0,0.01,2.0,2.01
659,732152,0.0,0.01,2.0,2.01
660,733181,0.3,0.01,2.0,2.31
661,734274,0.0,0.01,-2.0,-1.99
662,735547,0.0,0.01,2.0,2.01
663,736654,0.0,1.0,0.01,2.0,3.01
664,737931,0.0,1.0,0.01,2.0,3.01
665,738790,0.0,0.01,-2.0,-1.99
666,739896,0.0,0.01,2.0,2.01
667,741054,0.0,0.01,-2.0,-1.99
668,742273,0.0,0.01,2.0,2.01
669,743402,0.0,0.01,-2.0,-1.99
670,744573,0.0,0.01,-2.0,-1.99
671,746029,0.0,0.01,-2.0,-1.99
672,747216,0.0,0.01,-2.0,-1.99
673,748364,0.0,0.01,-2.0,-1.99
674,749470,0.0,0.01,-2.0,-1.99
675,750619,0.0,0.01,-2.0,-1.99
676,751837,0.0,0.01,-2.0,-1.99
677,752926,0.0,0.01,2.0,2.01
678,754132,0.0,0.01,-2.0,-1.99
679,755350,0.0,0.01,-2.0,-1.99
680,756321,0.0,0.01,2.0,2.01
681,757392,0.0,0.01,2.0,2.01
682,758512,0.0,0.01,-2.0,-1.99
683,759636,0.0,0.01,2.0,2.01
684,760750,0.0,0.01,-2.0,-1.99
685,761675,0.0,0.01,-2.0,-1.99
686,762493,0.3,0.01,-2.0,-1.69
687,763734,0.0,0.01,-2.0,-1.99
688,764717,0.3,0.01,2.0,2.31
689,765877,0.3,0.01,-2.0,-1.69
690,766862,-0.3,0.01,2.0,1.71
691,768149,0.0,0.01,-2.0,-1.99
692,769261,0.0,0.01,2.0,2.01
693,770358,-0.3,0.01,-2.0,-2.29
694,771383,0.0,0.01,-2.0,-1.99
695,772497,-0.3,0.01,-2.0,-2.29
696,773769,0.0,0.01,-2.0,-1.99
697,774723,0.3,0.01,-2.0,-1.69
698,775780,0.3,0.01,-2.0,-1.69
699,776616,0.0,0.01,-2.0,-1.99
700,777585,-0.3,0.01,-2.0,-2.29
701,778680,0.0,0.01,-2.0,-1.99
702,779766,0.0,0.01,-2.0,-1.99
703,780937,0.0,0.01,-2.0,-1.99
704,782160,0.0,0.01,-2.0,-1.99
705,783173,0.0,0.01,-2.0,-1.99
706,784336,0.0,0.01,-2.0,-1.99
707,785300,0.0,0.01,-2.0,-1.99
708,786463,0.0,0.01,-2.0,-1.99
709,787764,0.0,0.01,-2.0,-1.99
710,788663,0.0,0.01,-2.0,-1.99
711,789799,0.0,0.01,2.0,2.01
712,791306,0.0,0.01,-2.0,-1.99
713,792408,0.0,0.01,-2.0,-1.99
714,793540,0.0,0.01,-2.0,-1.99
715,794820,0.0,1.0,0.01,2.0,3.01
716,795851,-0.3,0.01,2.0,1.71
717,796978,0.0,0.01,-2.0,-1.99
718,797931,0.0,0.01,-2.0,-1.99
719,799335,0.0,1.0,0.01,2.0,3.01
720,800303,0.3,0.01,-2.0,-1.69
721,801652,0.0,1.0,0.01,2.0,3.01
722,802691,0.0,0.01,-2.0,-1.99
723,803775,0.0,1.0,0.01,2.0,3.01
724,805092,0.0,1.0,0.01,2.0,3.01
725,806142,0.0,0.01,2.0,2.01
726,807047,0.0,0.01,-2.0,-1.99
727,808066,0.0,0.01,2.0,2.01
728,809111,0.0,1.0,0.01,2.0,3.01
729,810645,0.0,0.01,-2.0,-1.99
730,811557,0.0,1.0,0.01,2.0,3.01
731,812782,0.0,0.01,-2.0,-1.99
732,813815,0.0,0.01,-2.0,-1.99
733,814998,0.0,1.0,0.01,2.0,3.01
734,816032,0.0,1.0,0.01,2.0,3.01
735,817423,0.0,0.01,-2.0,-1.99
736,818547,0.0,1.0,0.01,2.0,3.01
737,819674,0.0,1.0,0.01,2.0,3.01
738,820989,0.0,0.01,2.0,2.01
739,822077,0.0,0.01,2.0,2.01
740,823088,0.0,0.01,2.0,2.01
741,824365,0.0,1.0,0.01,2.0,3.01
742,825250,0.0,1.0,0.01,2.0,3.01
743,826275,0.0,1.0,0.01,2.0,3.01
744,827337,0.0,-0.5,0.01,2.0,1.51
745,828588,0.0,1.0,0.01,2.0,3.01
746,829562,0.0,0.01,-2.0,-1.99
747,830584,0.0,1.0,0.01,2.0,3.01
748,831991,0.0,1.0,0.01,2.0,3.01
749,833078,0.0,1.0,0.01,2.0,3.01
750,834309,0.0,0.01,-2.0,-1.99
751,835391,0.0,1.0,0.01,2.0,3.01
752,836407,0.0,1.0,0.01,2.0,3.01
753,837466,0.0,1.0,0.01,2.0,3.01
754,838527,0.0,1.0,0.01,2.0,3.01
755,839531,0.0,1.0,0.01,2.0,3.01
756,840547,0.0,1.0,0.01,2.0,3.01
757,841705,0.0,1.0,0.01,2.0,3.01
758,842655,0.0,1.0,0.01,2.0,3.01
759,843674,0.0,1.0,0.01,2.0,3.01
760,844935,0.0,1.0,0.01,2.0,3.01
761,846294,0.0,0.01,2.0,2.01
762,847304,0.0,1.0,0.01,2.0,3.01
763,848504,0.0,0.01,2.0,2.01
764,849545,0.0,1.0,0.01,2.0,3.01
765,850699,0.0,1.0,0.01,2.0,3.01
766,851834,0.0,1.0,0.01,2.0,3.01
767,852803,0.0,1.0,0.01,2.0,3.01
768,854031,0.0,1.0,0.01,2.0,3.01
769,855215,0.0,0.01,-2.0,-1.99
770,856410,0.0,0.01,2.0,2.01
771,857841,0.0,0.01,2.0,2.01
772,858844,0.0,0.01,2.0,2.01
773,859952,0.0,1.0,0.01,2.0,3.01
774,861021,0.0,1.0,0.01,2.0,3.01
775,862107,0.0,0.01,-2.0,-1.99
776,863104,0.0,0.01,2.0,2.01
777,864143,0.0,0.01,2.0,2.01
778,865179,0.0,1.0,0.01,2.0,3.01
779,866315,0.0,1.0,0.01,2.0,3.01
780,867541,0.0,1.0,0.01,2.0,3.01
781,868851,0.0,1.0,0.01,2.0,3.01
782,870138,0.0,0.01,-2.0,-1.99
783,871320,0.0,1.0,0.01,2.0,3.01
784,872412,0.0,1.0,0.01,2.0,3.01
785,873322,0.0,1.0,0.01,2.0,3.01
786,874393,0.0,1.0,0.01,2.0,3.01
787,875577,0.0,0.01,2.0,2.01
788,876585,0.0,1.0,0.01,2.0,3.01
789,877569,0.0,1.0,0.01,2.0,3.01
790,879107,0.0,0.01,-2.0,-1.99
791,880164,0.0,0.01,2.0,2.01
792,881197,0.0,1.0,0.01,2.0,3.01
793,882381,0.0,1.0,0.01,2.0,3.01
794,883423,0.0,1.0,0.01,2.0,3.01
795,884467,0.0,1.0,0.01,2.0,3.01
796,885489,0.0,1.0,0.01,2.0,3.01
797,886425,0.0,1.0,0.01,2.0,3.01
798,887642,0.0,1.0,0.01,2.0,3.01
799,888717,0.0,1.0,0.01,2.0,3.01
800,891351,0.0,-0.5,0.01,2.0,1.51
801,892276,0.0,1.0,0.01,2.0,3.01
802,893185,0.0,1.0,0.01,2.0,3.01
803,894387,0.0,0.01,-2.0,-1.99
804,895374,0.0,1.0,0.01,2.0,3.01
805,896385,0.0,-0.5,0.01,2.0,1.51
806,897658,0.0,1.0,0.01,2.0,3.01
807,898793,0.0,1.0,0.01,2.0,3.01
808,900113,0.0,0.01,2.0,2.01
809,901281,0.0,1.0,0.01,2.0,3.01
810,902708,0.0,1.0,0.01,2.0,3.01
811,905200,0.0,0.01,-2.0,-1.99
812,908041,-0.3,0.01,2.0,1.71
813,909044,0.0,0.01,2.0,2.01
814,909943,0.3,0.01,2.0,2.31
815,912342,-0.3,0.01,-2.0,-2.29
816,913829,0.0,0.01,2.0,2.01
817,915097,0.3,0.01,2.0,2.31
818,916020,0.0,0.01,2.0,2.01
819,917005,-0.3,0.01,2.0,1.71
820,918000,0.0,0.01,-2.0,-1.99
821,918829,0.0,0.01,-2.0,-1.99
822,919775,0.0,0.01,-2.0,-1.99
823,921215,0.0,0.01,-2.0,-1.99
824,922187,0.0,0.01,-2.0,-1.99
825,925315,0.3,0.01,-2.0,-1.69
826,926420,0.3,0.01,-2.0,-1.69
827,927787,0.3,0.01,2.0,2.31
828,929039,-0.3,0.01,2.0,1.71
829,930175,0.0,1.0,0.01,2.0,3.01
830,931192,0.0,0.01,-2.0,-1.99
831,932043,0.0,0.01,-2.0,-1.99
832,933077,0.0,1.0,0.01,2.0,3.01
833,934292,0.0,0.01,-2.0,-1.99
834,935323,0.0,0.01,-2.0,-1.99
835,936594,0.0,0.01,-2.0,-1.99
836,937724,0.0,0.01,-2.0,-1.99
837,938902,0.0,0.01,-2.0,-1.99
838,940414,0.0,0.01,-2.0,-1.99
839,941508,0.0,0.01,-2.0,-1.99
840,942833,0.0,0.01,-2.0,-1.99
841,944390,0.0,0.01,-2.0,-1.99
842,945218,0.0,0.01,-2.0,-1.99
843,946106,0.0,0.01,-2.0,-1.99
844,946919,0.0,0.01,-2.0,-1.99
845,947843,0.0,0.01,-2.0,-1.99
846,948811,0.0,0.01,-2.0,-1.99
847,949672,0.0,0.01,-2.0,-1.99
848,950995,0.0,0.01,-2.0,-1.99
849,952017,0.0,0.01,-2.0,-1.99
850,954156,0.0,1.0,0.01,2.0,3.01
851,955898,-0.3,0.01,-2.0,-2.29
852,956922,0.0,0.01,-2.0,-1.99
853,957890,0.0,0.01,-2.0,-1.99
854,959018,0.0,0.01,-2.0,-1.99
855,960131,0.0,0.01,-2.0,-1.99
856,961087,0.0,0.01,-2.0,-1.99
857,961929,0.0,1.0,0.01,-2.0,-0.99
858,962834,0.0,0.01,-2.0,-1.99
859,963613,0.0,0.01,-2.0,-1.99
860,964408,0.0,0.01,-2.0,-1.99
861,965429,0.0,0.01,-2.0,-1.99
862,968445,0.0,1.0,0.01,2.0,3.01
863,969918,0.0,0.01,-2.0,-1.99
864,971101,0.0,1.0,0.01,2.0,3.01
865,972400,0.0,-0.5,0.01,2.0,1.51
866,973671,0.0,1.0,0.01,2.0,3.01
867,974739,0.0,1.0,0.01,2.0,3.01
868,975837,0.0,-0.5,0.01,2.0,1.51
869,976753,0.0,0.01,-2.0,-1.99
870,977862,0.0,1.0,0.01,2.0,3.01
871,978984,0.0,1.0,0.01,2.0,3.01
872,979965,0.0,1.0,0.01,2.0,3.01
873,980778,0.0,1.0,0.01,2.0,3.01
874,981916,0.0,1.0,0.01,2.0,3.01
875,983173,0.0,1.0,0.01,2.0,3.01
876,984352,0.0,1.0,0.01,2.0,3.01
877,987947,0.0,1.0,0.01,2.0,3.01
878,989438,0.0,1.0,0.01,2.0,3.01
879,990766,0.0,1.0,0.01,2.0,3.01
880,991884,0.0,1.0,0.01,2.0,3.01
881,993090,0.0,1.0,0.01,2.0,3.01
882,994150,0.0,1.0,0.01,2.0,3.01
883,995198,0.0,1.0,0.01,2.0,3.01
884,996164,0.0,1.0,0.01,2.0,3.01
885,997083,0.0,1.0,0.01,2.0,3.01
886,998033,0.0,0.01,2.0,2.01
887,999045,0.0,-0.5,0.01,2.0,1.51
888,1000021,0.0,0.01,2.0,2.01
889,1000936,0.0,1.0,0.01,2.0,3.01
890,1001855,0.0,1.0,0.01,2.0,3.01
891,1002874,0.0,1.0,0.01,2.0,3.01
892,1003854,0.0,0.01,2.0,2.01
893,1004777,0.0,0.01,2.0,2.01
894,1005832,0.0,0.01,-2.0,-1.99
895,1006825,0.0,0.01,2.0,2.01
896,1007944,0.0,0.01,-2.0,-1.99
897,1008901,0.0,1.0,0.01,2.0,3.01
898,1009835,0.0,1.0,0.01,2.0,3.01
899,1010880,0.0,0.01,2.0,2.01
900,1011909,0.0,1.0,0.01,2.0,3.01
901,1013135,0.0,0.01,-2.0,-1.99
902,1014179,0.0,0.01,-2.0,-1.99
903,1015263,0.0,0.01,-2.0,-1.99
904,1016393,-0.3,0.01,-2.0,-2.29
905,1017394,0.0,0.01,-2.0,-1.99
906,1018470,0.0,0.01,-2.0,-1.99
907,1019640,0.0,0.01,-2.0,-1.99
908,1020527,-0.3,0.01,-2.0,-2.29
909,1021567,0.0,0.01,-2.0,-1.99
910,1022446,0.0,-0.5,0.01,2.0,1.51
911,1023437,-0.3,0.01,2.0,1.71
912,1024374,0.0,0.01,-2.0,-1.99
913,1025352,0.0,0.01,-2.0,-1.99
914,1026379,0.0,1.0,0.01,2.0,3.01
915,1027461,0.0,1.0,0.01,2.0,3.01
916,1028480,0.0,0.01,-2.0,-1.99
917,1029401,0.0,0.01,-2.0,-1.99
918,1030226,0.0,0.01,-2.0,-1.99
919,1031031,0.0,0.01,-2.0,-1.99
920,1032012,0.0,0.01,-2.0,-1.99
921,1032799,0.0,0.01,-2.0,-1.99
922,1033727,0.0,0.01,-2.0,-1.99
923,1034634,0.0,0.01,-2.0,-1.99
924,1035696,0.0,0.01,-2.0,-1.99
925,1036661,0.0,0.01,-2.0,-1.99
926,1037548,0.0,0.01,-2.0,-1.99
927,1038653,0.0,0.01,-2.0,-1.99
928,1039760,0.0,0.01,-2.0,-1.99
929,1041147,0.0,0.01,-2.0,-1.99
930,1042326,0.0,0.01,-2.0,-1.99
931,1043528,0.0,0.01,-2.0,-1.99
932,1044496,0.0,0.01,-2.0,-1.99
933,1045496,0.0,0.01,-2.0,-1.99
934,1046453,0.0,0.01,-2.0,-1.99
935,1047683,0.0,0.01,-2.0,-1.99
936,1048400,0.0,0.01,-2.0,-1.99
937,1049573,0.0,0.01,2.0,2.01
938,1050505,0.3,0.01,2.0,2.31
939,1051322,0.0,0.01,-2.0,-1.99
940,1052544,0.0,0.01,-2.0,-1.99
941,1053730,0.0,0.01,2.0,2.01
942,1056664,0.0,0.01,-2.0,-1.99
943,1057648,0.0,0.01,-2.0,-1.99
944,1058351,0.0,0.01,-2.0,-1.99
945,1059719,0.0,0.01,-2.0,-1.99
946,1060667,0.0,1.0,0.01,2.0,3.01
947,1061666,-0.3,0.01,-2.0,-2.29
948,1062667,0.0,1.0,0.01,2.0,3.01
949,1063551,0.0,0.01,-2.0,-1.99
950,1065020,0.0,0.01,-2.0,-1.99
951,1065977,0.0,0.01,-2.0,-1.99
952,1066997,0.0,0.01,-2.0,-1.99
953,1067886,0.0,0.01,-2.0,-1.99
954,1068941,0.0,1.0,0.01,2.0,3.01
955,1070270,0.0,1.0,0.01,2.0,3.01
956,1071228,0.0,1.0,0.01,-2.0,-0.99
957,1072085,0.0,0.01,-2.0,-1.99
958,1073352,0.0,1.0,0.01,2.0,3.01
959,1074249,0.0,0.01,-2.0,-1.99
960,1075162,0.0,0.01,-2.0,-1.99
961,1076033,0.0,0.01,-2.0,-1.99
962,1076966,0.0,0.01,-2.0,-1.99
963,1078258,0.0,0.01,-2.0,-1.99
964,1079442,0.0,0.01,-2.0,-1.99
965,1080530,0.0,0.01,-2.0,-1.99
966,1081919,0.0,0.01,-2.0,-1.99
967,1083520,0.0,0.01,-2.0,-1.99
968,1084746,0.0,0.01,-2.0,-1.99
969,1086301,0.0,1.0,0.01,2.0,3.01
970,1087471,0.0,1.0,0.01,2.0,3.01
971,1088479,0.0,1.0,0.01,2.0,3.01
972,1089558,0.0,1.0,0.01,2.0,3.01
973,1090595,0.0,1.0,0.01,2.0,3.01
974,1091532,0.0,1.0,0.01,2.0,3.01
975,1092626,0.0,1.0,0.01,2.0,3.01
976,1093749,0.0,1.0,0.01,2.0,3.01
977,1094857,0.0,1.0,0.01,2.0,3.01
978,1095974,0.0,1.0,0.01,2.0,3.01
979,1097499,0.0,1.0,0.01,2.0,3.01
980,1098703,0.3,0.01,2.0,2.31
981,1100704,0.0,1.0,0.01,2.0,3.01
982,1102886,0.0,0.01,-2.0,-1.99
983,1105451,0.0,-0.5,0.01,2.0,1.51
984,1106362,0.0,1.0,0.01,2.0,3.01
985,1107572,0.0,-0.5,0.01,2.0,1.51
986,1109806,0.0,1.0,0.01,2.0,3.01
987,1110824,0.0,1.0,0.01,2.0,3.01
988,1112167,0.0,1.0,0.01,2.0,3.01
989,1113279,0.0,1.0,0.01,2.0,3.01
990,1114636,0.0,1.0,0.01,2.0,3.01
991,1116103,0.0,0.01,-2.0,-1.99
992,1117367,0.0,0.01,-2.0,-1.99
993,1118417,0.0,0.01,-2.0,-1.99
994,1119761,0.0,0.01,-2.0,-1.99
995,1120984,0.0,0.01,-2.0,-1.99
996,1122115,0.0,0.01,2.0,2.01
997,1124793,0.0,1.0,0.01,2.0,3.01
998,1126310,0.0,0.01,-2.0,-1.99
999,1128014,0.0,1.0,0.01,2.0,3.01
1000,1129367,0.0,0.01,-2.0,-1.99
1001,1130344,0.0,0.01,-2.0,-1.99
