episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
59,0.963,0.963,22,29,1538,-0.5797246212767779,-0.6038557651188274,400,1538,0.0001
60,0.962,0.962,22,30,2268,-0.4221245595036744,-0.42207534431236376,950,2268,0.0001
61,0.961,0.961,23,30,1333,-0.9104636934343265,-0.9751795273134185,450,1333,0.0001
62,0.961,0.961,24,30,1628,-0.6062120997699223,-0.6156721950768421,500,1628,0.0001
63,0.96,0.96,25,30,1490,-0.5951069518510212,-0.620394003864324,300,1490,0.0001
64,0.959,0.959,26,30,1112,-0.5233330109668904,-0.5329263470882448,200,1112,0.0001
65,0.959,0.959,27,30,3001,-0.3491891258623777,-0.3593959807682972,700,3001,0.0001
66,0.958,0.958,28,30,2759,-0.4276688947633633,-0.45039571678959117,750,2759,0.0001
67,0.958,0.958,29,30,1368,-0.6372478932276338,-0.6302897604430981,800,1368,0.0001
68,0.957,0.957,29,30,4116,-0.2628318424122874,-0.26319871864191496,0,4116,0.0001
69,0.956,0.956,29,31,1206,-0.5364813154900072,-0.5381727963533045,100,1206,0.0001
70,0.956,0.956,30,31,1179,-0.5199487468985503,-0.5193250109252503,700,1179,0.0001
71,0.955,0.955,31,31,2898,-0.19847410809734634,-0.20255106953583252,650,2898,0.0001
72,0.954,0.954,32,31,1854,-0.5135310624759256,-0.5289395894142027,600,1854,0.0001
73,0.954,0.954,33,31,2173,-0.46601291415442236,-0.4633768455109333,850,2173,0.0001
74,0.953,0.953,33,32,967,-0.4726663738558648,-0.46489644078649156,200,967,0.0001
75,0.953,0.953,34,32,1902,-0.506111700123361,-0.5086882867866619,500,1902,0.0001
76,0.952,0.952,34,33,1750,-0.5461573032673864,-0.5496363368210003,650,1750,0.0001
77,0.951,0.951,35,33,1532,-0.5748434033365571,-0.5766601330293823,800,1532,0.0001
78,0.951,0.951,35,34,2847,-0.2879429925599674,-0.2935256804812407,900,2847,0.0001
79,0.95,0.95,35,35,1709,-0.5046854738081926,-0.5120868174634711,300,1709,0.0001
80,0.949,0.949,36,35,1649,-0.45695608569509616,-0.4576915951796693,550,1649,0.0001
81,0.949,0.949,37,35,1416,-0.6297237069839444,-0.6369240840027244,800,1416,0.0001
82,0.948,0.948,37,35,4107,-0.2897271818183941,-0.28929596415248354,550,4107,0.0001
83,0.947,0.947,37,36,3046,-0.23870794752140628,-0.2363459817577756,650,3046,0.0001
84,0.947,0.947,37,37,1405,-0.5121063730996249,-0.5187405054766748,250,1405,0.0001
85,0.946,0.946,38,37,2377,-0.37208998101258833,-0.36464022081952796,800,2377,0.0001
