episode,raw_total,after_scale,health_diff_reward,duration_reward,on_hit,episode_reward
5,0.5457827602449412,0.35307856594186476,1.0,-0.15421723975505877,-0.3,99.01223095654085
6,1.2373128927072288,0.5530352489990954,1.0,-0.1626871072927712,0.4,97.85547481736815
7,0.5367664523051279,0.3492830361438368,1.0,-0.1632335476948722,-0.3,95.22296867363221
8,0.5369484179240491,0.3493600771906864,1.0,-0.16305158207595086,-0.3,95.12582088199441
9,1.4583421979645022,0.5932218058055563,1.0,0.05834219796450202,0.4,95.20351078187689
10,-0.21623013242722378,-0.1777871857159915,1.0,0.38376986757277637,0.4,80.89197009368742
11,-0.7530119765848537,-0.42955324130291506,1.0,-0.15301197658485388,0.4,29.225704399213974
12,1.3055990110346278,0.5662732351922487,1.0,-0.0944009889653721,0.4,98.79215863936892
13,0.5397366449251175,0.35053828633880874,1.0,-0.16026335507488249,-0.3,97.84971109977766
14,-0.8517350799689574,-0.459965947171685,1.0,-0.2517350799689572,0.4,23.42794387980263
15,0.4142230853027717,0.2928979802462286,1.0,-0.2857769146972283,-0.3,18.48231273182952
16,0.5390908954375335,0.35026579459056606,1.0,-0.1609091045624665,-0.3,101.66582005859239
17,-0.04550815494464944,-0.04352730749102449,1.0,0.5544918450553507,0.4,51.44072610580561
18,0.5356423040235507,0.34880668670048315,1.0,-0.1643576959764492,-0.3,97.75857105278173
19,1.2405887417721952,0.5536887330742145,1.0,-0.1594112582278048,0.4,100.79929316260055
20,0.5382455875485033,0.3499087479303636,1.0,-0.16175441245149666,-0.3,96.10953341162781
21,0.5394227163976746,0.3504058441205483,1.0,-0.16057728360232532,-0.3,95.18555074276706
22,-0.5862489305699623,-0.3695819232857194,1.0,0.013751069430037621,0.4,93.53893562864776
23,1.2350648156279245,0.5525856820760441,1.0,-0.16493518437207558,0.4,99.19123845491829
24,-0.25273257269186633,-0.20174503178183967,1.0,0.3472674273081337,0.4,84.04990831451887
25,0.5390172375732007,0.35023469810068536,1.0,-0.16098276242679926,-0.3,97.84963966928343
26,1.6447932346745353,0.6218986093545953,1.0,0.24479323467453512,0.4,41.7485719471537
27,0.5372764126029352,0.3494988983101694,1.0,-0.16272358739706466,-0.3,97.770048150041
28,0.5368938092206432,0.34933695874076126,1.0,-0.16310619077935676,-0.3,96.89493400277765
29,0.5360041731366034,0.34896010213439327,1.0,-0.1639958268633965,-0.3,96.50886026280986
30,0.5372946517485555,0.34950661614377165,1.0,-0.16270534825144445,-0.3,98.73783155284421
31,0.5410534588047966,0.3510932445032922,1.0,-0.1589465411952033,-0.3,94.52106233005532
32,0.5361672500687302,0.3490292154351952,1.0,-0.16383274993126967,-0.3,95.83949805334433
33,1.434538711870501,0.5892445681294254,1.0,0.034538711870501115,0.4,36.06859020216452
34,0.5419863230992246,0.3514858173384386,1.0,-0.15801367690077534,-0.3,96.6494967319722
35,0.5425107277002457,0.3517062915400814,1.0,-0.15748927229975426,-0.3,95.77967507502252
36,0.5384657316486423,0.3500017716167227,1.0,-0.16153426835135767,-0.3,97.91383551422621
37,-0.8749771501000403,-0.46666016706035884,1.0,-0.2749771501000404,0.4,20.762517688009655
38,0.5374406301900458,0.34956837983630745,1.0,-0.16255936980995417,-0.3,96.98421305221471
39,0.540793076523026,0.35098358420936493,1.0,-0.159206923476974,-0.3,98.82552631978886
40,0.538263922894114,0.3499164966967539,1.0,-0.161736077105886,-0.3,98.35221910585312
41,0.541183784351337,0.3511481173409268,1.0,-0.1588162156486631,-0.3,98.4622170249066
42,0.5401251665668161,0.35070212362729,1.0,-0.15987483343318395,-0.3,97.65437876258497
43,0.5418741376661649,0.35143863200556996,1.0,-0.1581258623338351,-0.3,100.64928181733873
44,0.5353894254703853,0.34869943519792196,1.0,-0.16461057452961483,-0.3,97.7597386189227
45,0.5384657316486423,0.3500017716167227,1.0,-0.16153426835135767,-0.3,96.40296366077018
46,0.5377329353403246,0.34969201932409405,1.0,-0.16226706465967547,-0.3,95.16538173017338
47,1.238208922308591,0.553214183880317,1.0,-0.16179107769140888,0.4,100.3621987666521
48,0.5383189398344994,0.3499397464952324,1.0,-0.16168106016550052,-0.3,95.74351456951398
49,0.5364938433702608,0.34916758416257304,1.0,-0.16350615662973922,-0.3,95.84822414361594
50,0.5406444475041545,0.35092097231129415,1.0,-0.15935555249584546,-0.3,96.87303862429208
51,0.5389068053869559,0.3501880708438667,1.0,-0.1610931946130442,-0.3,95.91488910018813
52,-0.3820522802236872,-0.27643837045140685,1.0,0.21794771977631272,0.4,41.02452206266073
53,0.5402177903189398,0.35074117031661767,1.0,-0.15978220968106016,-0.3,97.12291742639447
54,0.5443764174382733,0.3524894651922068,1.0,-0.15562358256172676,-0.3,94.14817221478036
55,0.5382822600569317,0.34992424604637246,1.0,-0.16171773994306834,-0.3,95.43165535214519
56,0.5373311354790342,0.3495220535630414,1.0,-0.1626688645209657,-0.3,97.08526663063184
57,0.5398105870298935,0.350569473659174,1.0,-0.1601894129701065,-0.3,96.22249468446519
58,0.5353894254703853,0.34869943519792196,1.0,-0.16461057452961483,-0.3,96.41135476045727
59,0.5404217232219923,0.35082712420572076,1.0,-0.1595782767780076,-0.3,96.40466596852194
60,0.5361853787675208,0.349036897615639,1.0,-0.1638146212324792,-0.3,96.7689776290963
61,0.5380440186601252,0.3498235499975124,1.0,-0.1619559813398749,-0.3,97.79649915535254
62,0.5436015719708729,0.35216443274076326,1.0,-0.1563984280291272,-0.3,93.57539812904635
63,0.5386493850467593,0.35007935549292785,1.0,-0.1613506149532408,-0.3,97.8982216404344
64,1.7614490502072626,0.6378712835839052,1.0,0.36144905020726253,0.4,45.55595952626932
