episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
1,0.997,0.997,0,1,1919,0.0,0.056998092637405476,600,1919,0.0001
2,0.994,0.994,0,2,4660,0.0,-0.040215841877804956,1200,4660,0.0001
3,0.992,0.992,0,2,5510,0.0,-0.09087277781678083,700,5510,0.0001
4,0.989,0.989,1,2,2764,0.0,-0.018686334381331757,900,2764,0.0001
5,0.986,0.986,2,2,1598,0.0,0.024711893745818427,1200,1598,0.0001
6,0.983,0.983,2,3,3167,0.0,-0.028496643612682924,1100,3167,0.0001
7,0.98,0.98,2,4,3918,0.0,-0.03697270446822503,1050,3918,0.0001
8,0.978,0.978,3,4,2038,0.0,-0.01311596498469027,1100,2038,0.0001
9,0.975,0.975,4,4,5253,0.0,-0.04835210401653431,650,5253,0.0001
10,0.972,0.972,4,5,2272,0.0,0.013556112300217419,1050,2272,0.0001
11,0.969,0.969,5,5,1529,0.0,0.05414894053712679,850,1529,0.0001
12,0.966,0.966,6,5,2353,0.0,-0.05267690494470946,1000,2353,0.0001
13,0.963,0.963,6,6,1590,0.0,0.06637980453115849,1200,1590,0.0001
14,0.961,0.961,6,7,1220,0.0,0.07481581954699427,950,1220,0.0001
15,0.958,0.958,6,8,2152,0.0,0.027231595606762245,250,2152,0.0001
16,0.955,0.955,7,8,1587,0.0,0.05399263391687127,1150,1587,0.0001
17,0.952,0.952,7,9,1261,0.0,0.08965606560767234,800,1261,0.0001
18,0.949,0.949,7,10,1142,0.0,0.13490072706432027,500,1142,0.0001
19,0.947,0.947,7,11,1436,0.0,0.048906714749122664,850,1436,0.0001
20,0.944,0.944,8,11,2134,0.0,-0.011583507687473764,250,2134,0.0001
21,0.941,0.941,8,12,1046,0.0,0.13160667315633018,400,1046,0.0001
22,0.938,0.938,9,12,1130,0.0,0.09655662855308152,50,1130,0.0001
23,0.935,0.935,10,12,1227,0.0,0.03706741806820372,950,1227,0.0001
24,0.932,0.932,11,12,1270,0.0,0.03811590346733952,800,1270,0.0001
25,0.93,0.93,12,12,2015,0.0,-0.0214958133818103,1150,2015,0.0001
26,0.927,0.927,13,12,1288,0.0,0.07477333319979397,350,1288,0.0001
27,0.924,0.924,13,13,1229,0.0,0.08909915654763918,850,1229,0.0001
28,0.921,0.921,14,13,1070,0.0,0.09687866151191304,350,1070,0.0001
29,0.918,0.918,14,14,4405,0.0,-0.047938066333051144,100,4405,0.0001
30,0.916,0.916,14,15,1184,0.0,0.08102535614284548,900,1184,0.0001
31,0.913,0.913,15,15,1165,0.0,0.08238325579592555,1100,1165,0.0001
32,0.91,0.91,15,16,1608,0.0,0.02919830425280106,100,1608,0.0001
33,0.907,0.907,16,16,1133,0.0,0.1386886463167765,1200,1133,0.0001
34,0.904,0.904,17,16,1029,0.0,0.09037026113658617,450,1029,0.0001
35,0.902,0.902,18,16,1006,0.0,0.10781597198303014,600,1006,0.0001
36,0.899,0.899,18,17,1069,0.0,0.09846730064544237,550,1069,0.0001
37,0.896,0.896,19,17,1072,0.0,0.10943361386716417,550,1072,0.0001
38,0.893,0.893,19,18,1065,0.0,0.12349315869997256,450,1065,0.0001
39,0.89,0.89,19,19,1185,0.0,0.14873525747561278,900,1185,0.0001
40,0.887,0.887,20,19,1174,0.0,0.13682789842624427,950,1174,0.0001
41,0.885,0.885,21,19,1176,0.0,0.14307496305088832,950,1176,0.0001
42,0.882,0.882,22,19,1057,0.0,0.0963470608085133,1200,1057,0.0001
43,0.879,0.879,22,20,1056,0.0,0.0872790878734125,600,1056,0.0001
44,0.876,0.876,23,20,1159,0.0,0.13329865546513756,850,1159,0.0001
45,0.873,0.873,24,20,1178,0.0,0.10153519703746217,750,1178,0.0001
46,0.871,0.871,24,21,1204,0.0,0.0468807876594448,150,1204,0.0001
47,0.868,0.868,25,21,1117,0.0,0.10285890049841864,1000,1117,0.0001
48,0.865,0.865,26,21,1403,0.0,0.14246637500782344,750,1403,0.0001
49,0.862,0.862,27,21,1423,0.0,0.02294403295578762,300,1423,0.0001
50,0.859,0.859,28,21,1043,0.0,0.11759804294505731,100,1043,0.0001
51,0.857,0.857,28,22,1036,0.0,0.03100694029659314,150,1036,0.0001
52,0.854,0.854,28,23,1186,0.0,0.08669315240304769,950,1186,0.0001
53,0.851,0.851,29,23,1341,0.0,0.13006102510917483,800,1341,0.0001
54,0.848,0.848,29,24,1341,0.0,0.09758111075505356,650,1341,0.0001
55,0.845,0.845,30,24,1171,0.0,0.09357727790598194,300,1171,0.0001
56,0.843,0.843,30,25,1089,0.0,0.08379754396927959,100,1089,0.0001
57,0.84,0.84,30,26,1058,0.0,0.09995879709336533,1100,1058,0.0001
58,0.837,0.837,31,26,1146,0.0,0.15535711373377759,950,1146,0.0001
59,0.834,0.834,31,27,1182,0.0,0.1325624370039795,650,1182,0.0001
60,0.831,0.831,32,27,1039,0.0,0.043884069585008026,550,1039,0.0001
61,0.828,0.828,33,27,1231,0.0,0.1195169125104201,700,1231,0.0001
62,0.826,0.826,34,27,1145,0.0,0.08715625279342316,1000,1145,0.0001
63,0.823,0.823,35,27,1162,0.0,0.1277788960613351,650,1162,0.0001
64,0.82,0.82,35,28,1038,0.0,0.03015950339399554,550,1038,0.0001
65,0.817,0.817,36,28,1042,0.0,0.1592066975771621,1100,1042,0.0001
66,0.814,0.814,36,29,1169,0.0,0.1576532107792788,1000,1169,0.0001
67,0.812,0.812,37,29,1145,0.0,0.11404748490246437,300,1145,0.0001
68,0.809,0.809,38,29,1024,0.0,0.14556897026839913,500,1024,0.0001
69,0.806,0.806,38,30,1222,0.0,0.16029997739331744,1000,1222,0.0001
70,0.803,0.803,38,31,1002,0.0,0.12214548761681762,300,1002,0.0001
71,0.8,0.8,38,32,1154,0.0,0.18905997864220114,1050,1154,0.0001
72,0.797,0.797,38,33,1060,0.0,0.10045894322276404,900,1060,0.0001
73,0.795,0.795,39,33,1217,0.0,0.15024407258546685,750,1217,0.0001
74,0.792,0.792,39,34,1009,0.0,0.13621084554217835,900,1009,0.0001
75,0.789,0.789,39,35,1119,0.0,0.04815399968517569,1200,1119,0.0001
76,0.786,0.786,40,35,995,0.0,0.12975288469635082,1150,995,0.0001
77,0.783,0.783,41,35,1000,0.0,0.02489558744425945,200,1000,0.0001
78,0.781,0.781,41,36,1072,0.0,0.16830502783031842,800,1072,0.0001
79,0.778,0.778,41,37,1102,0.0,0.1798454117307364,1100,1102,0.0001
80,0.775,0.775,42,37,1341,0.0,-0.017652273612210088,150,1341,0.0001
81,0.772,0.772,43,37,1061,0.0,0.06087724455796012,550,1061,0.0001
82,0.769,0.769,44,37,1152,0.0,0.15969362207564314,850,1152,0.0001
83,0.767,0.767,44,38,1296,0.0,0.1503073212156507,250,1296,0.0001
84,0.764,0.764,44,39,1152,0.0,0.16596180905615449,1000,1152,0.0001
85,0.761,0.761,44,40,1142,0.0,0.13872134051751997,900,1142,0.0001
86,0.758,0.758,44,41,1052,0.0,0.07678528327459573,600,1052,0.0001
87,0.755,0.755,45,41,1172,0.0,0.17302927603179433,0,1172,0.0001
88,0.752,0.752,46,41,1054,0.0,0.18069682229770617,1100,1054,0.0001
89,0.75,0.75,47,41,2115,0.0,-0.021300484769233668,1200,2115,0.0001
90,0.747,0.747,47,42,1025,0.0,0.18891370782499503,1100,1025,0.0001
91,0.744,0.744,48,42,1132,0.0,0.18051852871091542,950,1132,0.0001
92,0.741,0.741,48,43,998,0.0,0.17097344680556337,950,998,0.0001
93,0.738,0.738,48,44,1084,0.0,0.1553746141637197,500,1084,0.0001
94,0.736,0.736,49,44,1451,0.0,0.010277397306435827,100,1451,0.0001
95,0.733,0.733,49,45,2104,0.0,-0.016450695628579873,550,2104,0.0001
96,0.73,0.73,50,45,1141,0.0,0.1114778522674261,650,1141,0.0001
97,0.727,0.727,50,46,1203,0.0,0.13124106621387682,1150,1203,0.0001
