episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep
2,623,0.0,0.027032149955630302,0.0,3.6001064777374268,0.0,1.0,7.157989047265266,6.584686964849207,5e-05,550
3,511,0.0,0.010755447670817375,0.0,3.46907639503479,0.996,0.996,5.437184149951533,5.437307985654363,5e-05,600
4,461,0.0,0.019321342930197716,0.0,3.569441080093384,0.995,0.995,4.864205864013512,4.577723934478997,5e-05,600
5,327,0.0,0.0038511331658810377,0.0,3.5175652503967285,0.994,0.994,2.8599201175470665,2.8599240814609272,5e-05,400
6,185,0.0,0.011357885785400867,0.0,3.7559094429016113,0.993,0.993,1.143651466692949,0.8577189440194786,5e-05,600
7,234,0.0,0.06756089627742767,0.0,3.707487106323242,0.992,0.992,1.7156240160145082,1.4296231297196993,5e-05,350
7,734,0.0,0.020011410117149353,0.0,3.6458613872528076,0.992,0.992,8.021668641546993,8.308713742245843,5e-05,350
8,594,0.0,0.02212822437286377,0.0,3.9914259910583496,0.991,0.991,6.584557694642346,6.297715651184244,5e-05,650
9,458,0.0,0.11553650349378586,0.0,4.283742427825928,0.989,0.989,4.577545442552179,4.291270183092152,5e-05,450
10,298,0.0,0.022743452340364456,0.0,4.121151447296143,0.988,0.988,2.5737398781016956,2.2877698692954116,5e-05,450
11,152,0.0,0.014764642342925072,0.0,4.062187671661377,0.987,0.987,0.571794432030921,0.5717976349043153,5e-05,250
11,652,0.0,0.01025115605443716,0.0,4.290680885314941,0.987,0.987,6.872360639564992,7.1584638557757225,5e-05,250
12,504,0.0,0.040665484964847565,0.0,4.564202785491943,0.986,0.986,5.1506440843658305,5.150443296543221,5e-05,500
13,364,0.0,0.00789379421621561,0.0,4.486941814422607,0.985,0.985,3.432335094149611,3.4323648388008703,5e-05,800
14,228,0.0,0.010595018044114113,0.0,4.515959739685059,0.983,0.983,1.4296266766554286,1.429627178133277,5e-05,950
14,728,0.0,0.010650210082530975,0.0,4.967103958129883,0.983,0.983,8.023092158347465,8.022887193024262,5e-05,950
15,578,0.0,0.00933999102562666,0.0,4.630963325500488,0.982,0.982,6.2978252108808395,6.01100020384766,5e-05,500
16,521,0.0,0.007701086346060038,0.0,4.934261322021484,0.981,0.981,5.437296228417875,5.72344760513753,5e-05,0
17,389,0.0,0.025611944496631622,0.0,5.18699836730957,0.98,0.98,3.718524399595612,3.4324048627790282,5e-05,200
18,272,0.0,0.028168508782982826,0.0,5.344458103179932,0.979,0.979,2.001668786751379,2.0016257179342056,5e-05,900
19,127,0.0,0.03617042303085327,0.0,5.854452610015869,0.977,0.977,0.2858870948540456,0.2858870948540456,5e-05,550
19,627,0.0,0.016609225422143936,0.0,5.517508029937744,0.977,0.977,6.871013140756765,6.871758898009378,5e-05,550
20,487,0.0,0.003636412788182497,0.0,5.983692169189453,0.976,0.976,4.86382057108698,4.863859847076881,5e-05,400
21,351,0.0,0.0073319426737725735,0.0,5.725870132446289,0.975,0.975,3.145982124168255,3.1461186122449254,5e-05,950
22,190,0.0,0.004562106914818287,0.0,6.01523494720459,0.974,0.974,1.1436532155042802,0.8577313208834882,5e-05,650
22,690,0.0,0.14609895646572113,0.0,6.454049110412598,0.974,0.974,7.732795386737111,7.733152727818655,5e-05,650
23,542,0.0,0.006387864705175161,0.0,6.869218826293945,0.973,0.973,5.723886452016337,5.723961357815906,5e-05,850
24,398,0.0,0.1813988834619522,0.0,6.640175819396973,0.972,0.972,3.7185787805330532,3.718437955284798,5e-05,250
25,259,0.0,0.16787651181221008,0.0,7.290462493896484,0.97,0.97,2.0016197387412435,2.001631658471035,5e-05,300
25,759,0.0,0.02089456468820572,0.0,7.007747173309326,0.97,0.97,7.981114448634454,8.596596998273638,5e-05,300
