episode,raw_total,after_scale,balance,duration,on_hit,episode_reward
3,0.40395972193127777,0.28772885405543785,1.0,-0.29604027806872224,-0.3,8.021847411912601
4,0.4036061837134752,0.2875494482687925,1.0,-0.29639381628652484,-0.3,8.159420003877978
5,-1.5951247529553956,-0.6146620701524372,1.0,-0.29512475295539553,-0.3,7.983144776705515
6,0.4046286811101208,0.2880680756072348,1.0,-0.29537131888987916,-0.3,8.598249785774083
7,1.10225320302392,0.5243199065832882,1.0,-0.29774679697608003,0.4,8.15018587253458
8,-1.5954166467994835,-0.6147054072288772,1.0,-0.2954166467994834,-0.3,7.981869246007237
9,-0.8952287267453247,-0.47235920082464167,1.0,-0.29522872674532485,0.4,7.837672368217808
10,-1.5951406373906005,-0.6146644287434478,1.0,-0.2951406373906004,-0.3,7.9833776277279656
11,0.4047629597446017,0.28813612783340414,1.0,-0.2952370402553983,-0.3,8.597756184183844
12,-1.5952308063550658,-0.6146778168819312,1.0,-0.29523080635506566,-0.3,7.9818231574371925
13,-1.5953317062381744,-0.6146927972265023,1.0,-0.2953317062381744,-0.3,7.981572936814504
14,-1.5950800259358202,-0.61465542873215,1.0,-0.2950800259358203,-0.3,7.983204952807561
15,-1.5945558873396481,-0.614577583439392,1.0,-0.29455588733964805,-0.3,7.984687581665529
16,0.4032631861313019,0.28737530501535513,1.0,-0.29673681386869805,-0.3,7.683986689495942
17,-1.5955794247408057,-0.6147295704118706,1.0,-0.29557942474080573,-0.3,7.980563111927471
18,-0.8958665675686497,-0.4725367190358507,1.0,-0.2958665675686498,0.4,7.7861915828907815
19,-1.595421658296994,-0.6147061511938844,1.0,-0.29542165829699407,-0.3,7.9817974766538615
20,0.4043983065814097,0.2879512917996869,1.0,-0.2956016934185903,-0.3,8.596961745326709
21,-1.5957284791130955,-0.614751693774351,1.0,-0.2957284791130954,-0.3,7.980612834016106
22,0.4045087007806088,0.2880072587345225,1.0,-0.29549129921939116,-0.3,8.597867316777617
23,0.40430077207532095,0.2879018370671635,1.0,-0.295699227924679,-0.3,8.596390434492097
24,0.4044948884851915,0.28800025674814433,1.0,-0.2955051115148085,-0.3,8.597366505844269
25,-1.595533600617498,-0.6147227684657629,1.0,-0.29553360061749806,-0.3,7.981237962019787
26,0.4043713343689895,0.2879376162649184,1.0,-0.29562866563101053,-0.3,8.596596998273638
27,-1.5956190499862661,-0.6147354520281815,1.0,-0.29561904998626604,-0.3,7.9804250519112845
28,-1.5952432667683631,-0.614679666910295,1.0,-0.29524326676836304,-0.3,7.982356471878996
29,-1.5954635590224089,-0.6147123713127169,1.0,-0.29546355902240895,-0.3,7.981487274993739
30,0.40447620464580275,0.2879907849686982,1.0,-0.29552379535419726,-0.3,8.597780007796306
31,-1.5955852438070632,-0.6147304341531644,1.0,-0.29558524380706314,-0.3,7.980738815409271
32,-1.5952742887907574,-0.6146842727494749,1.0,-0.29527428879075746,-0.3,7.981732257197255
33,0.4041673388922196,0.28783416883280927,1.0,-0.29583266110778034,-0.3,8.309541529939404
34,-1.5953398568852666,-0.6146940072811405,1.0,-0.29533985688526665,-0.3,7.981935590394696
35,-1.5954386602276742,-0.6147086751369115,1.0,-0.2954386602276742,-0.3,7.981252694820059
36,0.4043473790376267,0.28792546991807577,1.0,-0.2956526209623734,-0.3,8.596563067376435
