episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep
4,623,0.0,0.02959059737622738,0.0,3.7687907218933105,0.0,1.0,7.2155150461877495,7.347365691578731,5e-05,350
4,1123,0.0,0.1317223608493805,0.0,3.6890196800231934,0.0,1.0,14.462957007074673,14.308057152337852,5e-05,350
4,1623,0.0,0.03134104609489441,0.0,4.081307411193848,0.0,1.0,22.12444387691746,21.366010577379917,5e-05,350
4,2123,0.0,0.03518769145011902,0.0,4.043787002563477,0.0,1.0,31.010081949626326,29.910809457560745,5e-05,350
4,2623,0.0,0.013089875690639019,0.0,4.352269649505615,0.0,1.0,42.0430501726495,39.63052625166464,5e-05,350
4,3123,0.0,0.055723872035741806,0.0,4.60598087310791,0.0,1.0,55.27214360822513,51.80969666988913,5e-05,350
4,3623,0.0,0.0054702553898096085,0.0,4.537385940551758,0.0,1.0,69.70279684352204,65.07927853418484,5e-05,350
4,4123,0.0,0.030548837035894394,0.0,4.54253625869751,0.0,1.0,83.83391790058226,78.63593336656037,5e-05,350
4,4623,0.0,0.013317347504198551,0.0,4.788334846496582,0.0,1.0,96.13942433604244,89.93480299482033,5e-05,350
5,137,0.0,0.018124978989362717,0.0,4.991657257080078,0.994,0.994,0.2858911443861699,0.2858871869627982,5e-05,0
5,637,0.0,0.02958815172314644,0.0,4.853592872619629,0.994,0.994,6.874354421174489,6.873618046698695,5e-05,0
5,1137,0.0,0.004909143783152103,0.0,5.337050914764404,0.994,0.994,13.577104971053434,13.863136910502535,5e-05,0
5,1637,0.0,0.0046851919032633305,0.0,4.988818645477295,0.994,0.994,21.127921530327544,21.087382785537564,5e-05,0
5,2137,0.0,0.011636652052402496,0.0,5.180519104003906,0.994,0.994,29.024827318481012,30.161660410135134,5e-05,0
5,2637,0.0,0.010641495697200298,0.0,4.822388648986816,0.994,0.994,40.38037373251358,40.58983680719853,5e-05,0
5,3137,0.0,0.025749027729034424,0.0,4.880179405212402,0.994,0.994,53.13024396786655,53.31443819287497,5e-05,0
5,3637,0.0,0.024035945534706116,0.0,5.50244140625,0.994,0.994,66.63084125927057,67.63153420666094,5e-05,0
5,4137,0.0,0.02333672344684601,0.0,5.410151958465576,0.994,0.994,80.68150488321461,80.70770317759717,5e-05,0
5,4637,0.0,0.006082604639232159,0.0,5.492122650146484,0.994,0.994,91.05143655708547,91.07468591368342,5e-05,0
6,320,0.0,0.037327684462070465,0.0,5.6219000816345215,0.993,0.993,2.8600007715842386,2.5739272730713276,5e-05,550
6,820,0.0,0.008537789806723595,0.0,5.73929500579834,0.993,0.993,9.758703609402168,9.47207625659104,5e-05,550
6,1320,0.0,0.014910743571817875,0.0,5.758010387420654,0.993,0.993,16.601803555352355,16.319149980431643,5e-05,550
6,1820,0.0,0.03807307034730911,0.0,6.192287445068359,0.993,0.993,24.625470544576235,24.352404307559254,5e-05,550
6,2320,0.0,0.006306738127022982,0.0,5.803155422210693,0.993,0.993,35.666117040204426,34.29451772276354,5e-05,550
6,2820,0.0,0.02250807359814644,0.0,6.230067253112793,0.993,0.993,47.543201026726024,46.17272137286694,5e-05,550
6,3320,0.0,0.0414612777531147,0.0,6.308532238006592,0.993,0.993,62.833421174250525,60.835652247471465,5e-05,550
6,3820,0.0,0.030560819432139397,0.0,6.459938049316406,0.993,0.993,75.86972090781256,73.88156849697528,5e-05,550
6,4320,0.0,0.008919180370867252,0.0,6.665404319763184,0.993,0.993,87.27949883034653,85.79401280746475,5e-05,550
6,4820,0.0,0.03386177122592926,0.0,6.520436763763428,0.993,0.993,96.3646025226564,94.87368563748838,5e-05,550
