episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,opponent_ep
0,622,0.0,0.04909859970211983,0.0,0.024814626201987267,0.0,1.0,28.024908678521143,17.00976219275412,850
0,1122,0.0,0.04331739619374275,0.0,0.08982249349355698,0.0,1.0,105.20353413049833,38.435411079454695,850
1,404,0.0,0.08114048838615417,0.0,0.12251406908035278,0.999,0.999,-27.778799970338945,-27.777806160119617,150
1,904,0.0,0.042910441756248474,0.0,0.14266909658908844,0.999,0.999,-72.87239328412555,-70.92361417643737,150
1,1404,0.0,0.04399896785616875,0.0,0.19118425250053406,0.999,0.999,-114.6418275833395,-114.6051738489586,150
1,1904,0.0,0.008107003755867481,0.0,0.17320193350315094,0.999,0.999,-143.8750218474818,-151.13030871765534,150
1,2404,0.0,0.08184517920017242,0.0,0.19993673264980316,0.999,0.999,-180.23827251229676,-187.50121065002088,150
1,2904,0.0,0.08226896822452545,0.0,0.23761500418186188,0.999,0.999,-179.8069766527657,-188.98766604418435,150
1,3404,0.0,0.11263041198253632,0.0,0.3294352889060974,0.999,0.999,-95.24516791217322,-81.78478484507698,150
2,607,0.0,0.02766343764960766,0.0,0.409906268119812,0.998,0.998,-45.52480408047214,-45.53488267954476,350
2,1107,0.0,0.05062571167945862,0.0,0.621441662311554,0.998,0.998,-90.15925267431898,-90.17873788792953,350
2,1607,0.0,0.006545734591782093,0.0,0.3373522162437439,0.998,0.998,-134.66135810175794,-132.8901946013343,350
2,2107,0.0,0.09384462237358093,0.0,0.45720845460891724,0.998,0.998,-175.38549108741972,-173.7790132400796,350
2,2607,0.0,0.012220357544720173,0.0,0.6088048219680786,0.998,0.998,-207.91745018067854,-207.70505336454394,350
2,3107,0.0,0.14683501422405243,0.0,0.5791968703269958,0.998,0.998,-236.34963311576115,-234.84361307913008,350
2,3607,0.0,0.1207571029663086,0.0,0.3647192418575287,0.998,0.998,-260.5813378486801,-259.1096990256495,350
2,4107,0.0,0.020697493106126785,0.0,0.5829616785049438,0.998,0.998,-206.67055385374124,-210.17920876967813,350
3,194,0.0,0.17031168937683105,0.0,0.9436673521995544,0.996,0.996,-7.9518776424613,-5.964272136511441,550
3,694,0.0,0.008345436304807663,0.0,0.8669410943984985,0.996,0.996,23.269438422448626,14.79498984673435,550
3,1194,0.0,0.09012649208307266,0.0,0.6094170212745667,0.996,0.996,74.09664599807053,49.06645342031851,550
3,1694,0.0,0.10333560407161713,0.0,1.0307035446166992,0.996,0.996,31.931511957558143,6.880244805715579,550
3,2194,0.0,0.06720708310604095,0.0,0.8794744610786438,0.996,0.996,0.31473914590013874,-31.566564755426732,550
3,2694,0.0,0.022341324016451836,0.0,1.1453742980957031,0.996,0.996,-32.732304515950375,-66.08489958121756,550
3,3194,0.0,0.07325299829244614,0.0,0.67392897605896,0.996,0.996,-60.284852769878,-93.7035036214164,550
3,3694,0.0,0.025994807481765747,0.0,1.233311414718628,0.996,0.996,-84.13777176975628,-112.60815463767196,550
4,125,0.0,0.24868552386760712,0.0,1.557559847831726,0.995,0.995,-1.9888626433951109,-1.988832544965982,600
4,625,0.0,0.17204248905181885,0.0,1.6468008756637573,0.995,0.995,-47.487719632698095,-47.498865573923965,600
4,1125,0.0,0.05924249067902565,0.0,1.6301758289337158,0.995,0.995,-92.08092336944459,-92.08182651135797,600
4,1625,0.0,0.12448684871196747,0.0,1.3390815258026123,0.995,0.995,-52.628740854499824,-48.439527597909255,600
5,153,0.0,0.011439843103289604,0.0,1.5345652103424072,0.994,0.994,-3.977077568570115,-3.977165286904976,900
5,653,0.0,0.044931765645742416,0.0,2.043492078781128,0.994,0.994,20.265695163361016,-17.425255832800296,900
5,1153,0.0,0.02802327834069729,0.0,1.9088122844696045,0.994,0.994,43.2923263736035,-19.246870822539147,900
5,1653,0.0,0.06352158635854721,0.0,1.863939881324768,0.994,0.994,60.52305970482049,-6.129206710468084,900
6,558,0.0,0.064903624355793,0.0,2.419020175933838,0.993,0.993,-6.726044182957796,-29.842403829364073,500
6,1058,0.0,0.056975483894348145,0.0,2.6509525775909424,0.993,0.993,22.986324256441563,-43.02418228910659,500
7,196,0.0,0.04440475255250931,0.0,2.7695841789245605,0.992,0.992,-7.951661877519043,-7.9513162438443,350
7,696,0.0,0.10539061576128006,0.0,3.0437450408935547,0.992,0.992,-41.42224102923355,-53.37529055661466,350
7,1196,0.0,0.03102508746087551,0.0,2.942805051803589,0.992,0.992,-71.90981858940468,-79.5224101096846,350
7,1696,0.0,0.04254768416285515,0.0,3.2475290298461914,0.992,0.992,-41.11637906109148,-73.05150241332724,350
