episode,elapsed_time,step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2
7,21.072,25000,0.046713702380657196,0.025989707559347153,5.2087016105651855,9.493583679199219,0.992,0.992,-82.5,-82.5
7,30.163,25500,0.04350680857896805,0.020933009684085846,5.735569000244141,9.436310768127441,0.992,0.992,-117.0,-117.0
7,38.794,26000,0.08270794153213501,0.06944797933101654,5.700844764709473,9.584127426147461,0.992,0.992,-138.5,-119.0
7,47.459,26500,0.010504056699573994,0.010426770895719528,6.20155143737793,10.045609474182129,0.992,0.992,-173.0,-153.5
7,56.24,27000,0.010352062061429024,0.013216575607657433,6.044877052307129,11.120967864990234,0.992,0.992,-207.5,-189.5
7,65.113,27500,0.004613176919519901,0.10707144439220428,7.277501106262207,11.35694694519043,0.992,0.992,-242.0,-224.0
7,74.152,28000,0.08978485316038132,0.06308981776237488,6.886351585388184,11.207291603088379,0.992,0.992,-242.5,-219.5
7,83.277,28500,0.03998050093650818,0.02457311749458313,7.1045145988464355,11.79224967956543,0.992,0.992,-174.5,-132.0
8,8.914,29000,0.022664830088615417,0.04376516863703728,7.429410457611084,12.013029098510742,0.991,0.991,-7.0,-8.5
8,17.672,29500,0.03604821115732193,0.014796881936490536,7.575437545776367,11.58971881866455,0.991,0.991,69.0,74.0
8,26.595,30000,0.039936285465955734,0.022018054500222206,7.690107345581055,12.62186050415039,0.991,0.991,73.5,85.0
9,4.687,30500,0.029285825788974762,0.04496446251869202,8.516634941101074,12.278709411621094,0.989,0.989,-19.5,-19.5
9,13.331,31000,0.009218621999025345,0.10175585001707077,8.511905670166016,12.690088272094727,0.989,0.989,-54.0,-54.0
9,22.243,31500,0.022400178015232086,0.07439491152763367,9.060443878173828,13.398536682128906,0.989,0.989,-90.0,-88.5
9,30.946,32000,0.008974285796284676,0.04229820519685745,8.577859878540039,13.289566993713379,0.989,0.989,-124.5,-123.0
9,39.68,32500,0.002173196990042925,0.05928701162338257,9.555075645446777,13.863465309143066,0.989,0.989,-159.0,-157.5
9,48.459,33000,0.010713391937315464,0.03652036562561989,9.034852981567383,13.675165176391602,0.989,0.989,-193.5,-192.0
9,57.393,33500,0.008469493128359318,0.030017513781785965,9.945343017578125,13.634624481201172,0.989,0.989,-229.5,-226.5
9,66.174,34000,0.027690742164850235,0.024006512016057968,9.911781311035156,14.074080467224121,0.989,0.989,-212.0,-202.5
9,75.013,34500,0.03310612961649895,0.003172826487571001,10.294510841369629,14.235565185546875,0.989,0.989,-142.5,-100.5
10,8.877,35000,0.05858751758933067,0.0076538254506886005,10.736392974853516,14.723313331604004,0.988,0.988,-36.0,-36.0
10,17.784,35500,0.007619860582053661,0.029139848425984383,10.657180786132812,14.963777542114258,0.988,0.988,-70.5,-70.5
10,26.669,36000,0.09432490170001984,0.021043939515948296,11.0162353515625,14.911739349365234,0.988,0.988,-105.0,-103.5
10,35.792,36500,0.023388991132378578,0.09119220077991486,10.706033706665039,15.070935249328613,0.988,0.988,-141.0,-139.5
10,44.599,37000,0.026154866442084312,0.09103497117757797,11.192129135131836,14.78205680847168,0.988,0.988,-175.5,-172.5
10,53.686,37500,0.09118776023387909,0.17328226566314697,11.328874588012695,15.70897102355957,0.988,0.988,-210.0,-207.0
10,62.858,38000,0.14140552282333374,0.0640774592757225,10.993818283081055,14.735583305358887,0.988,0.988,-244.5,-243.0
10,71.603,38500,0.004782251548022032,0.06875456124544144,11.726605415344238,15.496280670166016,0.988,0.988,-162.0,-160.5
11,1.847,39000,0.10571734607219696,0.07383604347705841,11.141351699829102,16.189130783081055,0.987,0.987,-9.0,-7.5
11,10.681,39500,0.05292651057243347,0.08462628722190857,11.652442932128906,16.441299438476562,0.987,0.987,15.0,29.5
11,19.64,40000,0.0417754240334034,0.1001063734292984,11.895914077758789,17.053579330444336,0.987,0.987,84.5,86.0
12,2.496,40500,0.11641264706850052,0.09269449859857559,11.675406455993652,17.4385986328125,0.986,0.986,-9.0,-9.0
12,11.948,41000,0.04287780076265335,0.03890949487686157,12.949679374694824,17.9432430267334,0.986,0.986,-45.0,-45.0
12,20.771,41500,0.05455903336405754,0.009459678083658218,12.552408218383789,17.173917770385742,0.986,0.986,-79.5,-81.0
12,29.513,42000,0.11056587100028992,0.1699875295162201,12.813724517822266,18.970794677734375,0.986,0.986,-114.0,-114.0
12,38.308,42500,0.05672663822770119,0.012733694165945053,13.092342376708984,19.183177947998047,0.986,0.986,-148.5,-148.5
12,47.103,43000,0.08469309657812119,0.047335024923086166,13.743216514587402,18.930877685546875,0.986,0.986,-184.5,-184.5
12,56.053,43500,0.007551959250122309,0.005200795829296112,13.757501602172852,19.093210220336914,0.986,0.986,-219.0,-219.0
12,64.936,44000,0.02255389653146267,0.03911935165524483,13.034879684448242,18.931087493896484,0.986,0.986,-255.0,-253.5
12,74.404,44500,0.20113447308540344,0.12323871999979019,13.6832857131958,19.74242401123047,0.986,0.986,-289.5,-288.0
12,83.216,45000,0.09332552552223206,0.07808078825473785,14.203824996948242,19.78357696533203,0.986,0.986,-325.5,-321.0
13,2.022,45500,0.07034951448440552,0.1583753526210785,14.322872161865234,20.55685806274414,0.985,0.985,-9.0,-7.5
13,10.972,46000,0.05955222621560097,0.08168333768844604,14.9515962600708,20.546443939208984,0.985,0.985,-43.5,-43.5
13,19.732,46500,0.10463730245828629,0.03083493560552597,15.572105407714844,21.56392478942871,0.985,0.985,-79.5,-78.0
13,28.544,47000,0.2146686315536499,0.07986941188573837,15.710420608520508,22.1881160736084,0.985,0.985,-114.0,-114.0
13,37.739,47500,0.1559968739748001,0.0733683854341507,15.857893943786621,22.830793380737305,0.985,0.985,-148.5,-148.5
13,46.521,48000,0.0727323442697525,0.04839244484901428,16.38759994506836,22.440916061401367,0.985,0.985,-184.5,-183.0
13,55.497,48500,0.036261796951293945,0.034450456500053406,16.780263900756836,23.044443130493164,0.985,0.985,-219.0,-217.5
13,64.789,49000,0.11352648586034775,0.024544475600123405,16.974210739135742,22.746213912963867,0.985,0.985,-255.0,-253.5
13,73.91,49500,0.010323388502001762,0.0062788501381874084,17.448223114013672,23.030986785888672,0.985,0.985,-289.5,-286.5
13,82.917,50000,0.16596895456314087,0.02627331204712391,17.939952850341797,23.65237045288086,0.985,0.985,-324.0,-321.0
14,2.054,50500,0.0056064072996377945,0.011050797067582607,17.9781436920166,24.923690795898438,0.983,0.983,-9.0,-9.0
14,11.471,51000,0.01536916010081768,0.05491657182574272,17.893465042114258,23.629688262939453,0.983,0.983,-43.5,-43.5
14,20.509,51500,0.004546784330159426,0.009660393930971622,18.215621948242188,23.568540573120117,0.983,0.983,-78.0,-79.5
14,29.38,52000,0.030217323452234268,0.03190123289823532,18.221355438232422,23.856433868408203,0.983,0.983,-112.5,-112.5
14,38.844,52500,0.025292163714766502,0.104792021214962,19.040103912353516,24.558250427246094,0.983,0.983,-148.5,-147.0
14,48.018,53000,0.008151542395353317,0.020414618775248528,18.836402893066406,25.40192413330078,0.983,0.983,-183.0,-181.5
14,57.403,53500,0.04168354719877243,0.010667217895388603,18.96375846862793,25.756086349487305,0.983,0.983,-217.5,-217.5
14,67.024,54000,0.011402904987335205,0.030700750648975372,19.310583114624023,25.20895767211914,0.983,0.983,-253.5,-252.0
14,76.533,54500,0.05537039041519165,0.04653936251997948,19.457298278808594,26.76254653930664,0.983,0.983,-289.5,-288.0
14,85.462,55000,0.018958432599902153,0.012214507907629013,18.875818252563477,25.287857055664062,0.983,0.983,-324.0,-324.0
15,4.67,55500,0.05163505673408508,0.2405286431312561,19.158437728881836,26.871522903442383,0.982,0.982,-18.0,-18.0
15,13.707,56000,0.0027480185963213444,0.08020518720149994,19.409473419189453,26.5581111907959,0.982,0.982,-52.5,-52.5
15,23.023,56500,0.012109159491956234,0.025643546134233475,18.968746185302734,25.36606216430664,0.982,0.982,-35.0,-23.5
15,32.04,57000,0.0037113216239959,0.04259245842695236,19.258331298828125,27.02568817138672,0.982,0.982,-24.0,7.0
15,41.109,57500,0.043591294437646866,0.013764793053269386,19.396095275878906,27.83616828918457,0.982,0.982,-44.0,-22.5
15,50.029,58000,0.06355822086334229,0.1431998461484909,20.365156173706055,26.889984130859375,0.982,0.982,-65.5,-37.5
16,2.471,58500,0.05885893478989601,0.0176214762032032,20.008283615112305,27.387792587280273,0.981,0.981,-10.5,-10.5
16,11.412,59000,0.014908552169799805,0.05053147301077843,19.449663162231445,27.38166618347168,0.981,0.981,-45.0,-45.0
16,20.4,59500,0.005248032510280609,0.06353995949029922,18.991361618041992,28.996686935424805,0.981,0.981,-81.0,-81.0
16,29.312,60000,0.0633491799235344,0.05588079243898392,19.24164581298828,26.752567291259766,0.981,0.981,-115.5,-115.5
16,38.408,60500,0.016642428934574127,0.09129033982753754,19.727216720581055,27.770355224609375,0.981,0.981,-150.0,-151.5
16,47.4,61000,0.014212594367563725,0.12337367236614227,20.390769958496094,28.16032600402832,0.981,0.981,-184.5,-186.0
16,56.248,61500,0.002311741467565298,0.005572458729147911,20.205965042114258,28.466337203979492,0.981,0.981,-220.5,-222.0
16,65.295,62000,0.0074294256046414375,0.02410736121237278,20.295345306396484,27.29891586303711,0.981,0.981,-255.0,-256.5
16,74.276,62500,0.011509189382195473,0.11781889945268631,19.838903427124023,28.347135543823242,0.981,0.981,-289.5,-291.0
16,83.293,63000,0.012541912496089935,0.09455561637878418,20.688461303710938,28.162195205688477,0.981,0.981,-324.0,-327.0
17,2.535,63500,0.13436758518218994,0.09657011181116104,19.9929256439209,27.702463150024414,0.98,0.98,-10.5,-10.5
17,11.33,64000,0.07822082191705704,0.10277795791625977,20.608348846435547,28.682462692260742,0.98,0.98,-43.5,-43.5
17,20.377,64500,0.04082322120666504,0.02793137915432453,21.24829864501953,28.951765060424805,0.98,0.98,-76.5,-79.5
17,29.162,65000,0.09658919274806976,0.14365050196647644,21.00493621826172,28.50841522216797,0.98,0.98,-112.5,-112.5
17,38.291,65500,0.11391089856624603,0.15047845244407654,20.733083724975586,28.111019134521484,0.98,0.98,-147.0,-147.0
17,47.489,66000,0.09011606872081757,0.13266929984092712,20.698667526245117,29.070783615112305,0.98,0.98,-110.0,-108.5
18,1.369,66500,0.09951971471309662,0.0434146486222744,21.099628448486328,29.403444290161133,0.979,0.979,-6.0,-4.5
18,10.278,67000,0.009427683427929878,0.2409200668334961,21.52305030822754,28.976625442504883,0.979,0.979,-40.5,-40.5
18,19.126,67500,0.006799442693591118,0.08967810124158859,21.8444766998291,29.413070678710938,0.979,0.979,-75.0,-73.5
18,27.952,68000,0.030339524149894714,0.014231624081730843,21.077817916870117,28.944488525390625,0.979,0.979,-109.5,-108.0
18,36.819,68500,0.00933756772428751,0.05859285593032837,21.96115493774414,29.209503173828125,0.979,0.979,-145.5,-144.0
18,45.673,69000,0.022150950506329536,0.019908778369426727,21.29736328125,30.1265869140625,0.979,0.979,-180.0,-178.5
18,54.589,69500,0.005030197091400623,0.014899992384016514,21.19645881652832,29.468875885009766,0.979,0.979,-216.0,-214.5
18,63.856,70000,0.02712952345609665,0.1950107216835022,21.450725555419922,29.35138511657715,0.979,0.979,-250.5,-249.0
18,72.661,70500,0.009112603962421417,0.022007176652550697,21.01423454284668,29.73794174194336,0.979,0.979,-286.5,-283.5
18,81.765,71000,0.013439889997243881,0.01873595267534256,21.096988677978516,29.58439064025879,0.979,0.979,-322.5,-318.0
19,0.785,71500,0.0016517636831849813,0.009532829746603966,20.55956268310547,29.731292724609375,0.977,0.977,-3.0,-3.0
19,9.793,72000,0.03202370926737785,0.030824191868305206,20.887603759765625,28.850814819335938,0.977,0.977,-39.0,-32.5
19,18.87,72500,0.007397165056318045,0.08535198867321014,20.83309555053711,29.968704223632812,0.977,0.977,56.5,68.0
20,5.487,73000,0.011959712952375412,0.05281290039420128,21.424562454223633,30.350444793701172,0.976,0.976,-21.0,-21.0
20,14.514,73500,0.0863618329167366,0.0958041250705719,20.388877868652344,30.15549087524414,0.976,0.976,-49.0,-47.5
20,23.434,74000,0.011422388255596161,0.055668167769908905,20.54572105407715,29.87891387939453,0.976,0.976,1.0,7.5
20,32.536,74500,0.03983216732740402,0.06411310285329819,20.02766990661621,29.63478660583496,0.976,0.976,5.5,36.5
21,1.523,75000,0.013809042051434517,0.0072303530760109425,20.971242904663086,28.91545295715332,0.975,0.975,-6.0,-6.0
21,10.502,75500,0.04289695993065834,0.06848850101232529,20.47403335571289,29.48480224609375,0.975,0.975,-40.5,-40.5
21,20.109,76000,0.0172108206897974,0.020090728998184204,20.24420166015625,28.921812057495117,0.975,0.975,-76.5,-76.5
21,29.167,76500,0.053971730172634125,0.00598114775493741,20.23426055908203,29.01991081237793,0.975,0.975,-109.5,-109.5
21,38.505,77000,0.040522199124097824,0.0061316946521401405,19.946060180664062,29.01523208618164,0.975,0.975,-145.5,-144.0
21,47.735,77500,0.03189561888575554,0.012433091178536415,19.506271362304688,28.354616165161133,0.975,0.975,-121.5,-115.0
21,56.873,78000,0.06723058223724365,0.09172310680150986,19.51864242553711,28.58614158630371,0.975,0.975,-65.0,-58.5
22,5.686,78500,0.026735587045550346,0.00960700586438179,20.94516944885254,28.507434844970703,0.974,0.974,-21.0,-21.0
22,15.131,79000,0.01604630798101425,0.08565754443407059,20.050697326660156,27.97358512878418,0.974,0.974,-55.5,-57.0
22,24.163,79500,0.009633377194404602,0.06099073961377144,20.391942977905273,28.478233337402344,0.974,0.974,-38.0,-8.5
23,0.877,80000,0.034887269139289856,0.029973940923810005,20.433834075927734,28.061601638793945,0.973,0.973,-4.5,-4.5
23,10.029,80500,0.07206875830888748,0.008538667112588882,21.326974868774414,27.960491180419922,0.973,0.973,-39.0,-40.5
23,18.888,81000,0.0618818923830986,0.012183698825538158,21.506349563598633,27.968826293945312,0.973,0.973,-42.5,-49.0
23,27.692,81500,0.03649776056408882,0.014011765830218792,21.89164161682129,27.539146423339844,0.973,0.973,53.0,14.0
24,6.651,82000,0.026918647810816765,0.09203721582889557,23.16566276550293,27.889102935791016,0.972,0.972,-25.5,-25.5
24,15.584,82500,0.03525994345545769,0.06425714492797852,22.748783111572266,27.183149337768555,0.972,0.972,-61.5,-60.0
24,24.505,83000,0.02752593159675598,0.11437542736530304,23.382354736328125,27.03931427001953,0.972,0.972,-63.5,-75.0
24,33.617,83500,0.10217563807964325,0.011655161157250404,23.615297317504883,26.277359008789062,0.972,0.972,-7.0,-25.0
25,2.623,84000,0.06697341054677963,0.05797148123383522,23.15823745727539,26.205673217773438,0.97,0.97,-10.5,-12.0
25,11.6,84500,0.03441432863473892,0.03125864267349243,24.225574493408203,26.159465789794922,0.97,0.97,-19.0,-20.5
25,20.897,85000,0.045345988124608994,0.01335151307284832,22.7982234954834,25.837173461914062,0.97,0.97,-53.5,-56.5
25,29.816,85500,0.1327124834060669,0.06301828473806381,23.740774154663086,25.182647705078125,0.97,0.97,-88.0,-88.0
25,38.89,86000,0.025224434211850166,0.05533190071582794,24.25705337524414,25.28836441040039,0.97,0.97,-77.0,-72.0
25,47.951,86500,0.037705983966588974,0.06712312996387482,26.192127227783203,24.63711166381836,0.97,0.97,-111.5,-105.0
25,57.295,87000,0.05374915525317192,0.018989555537700653,24.99127769470215,26.285785675048828,0.97,0.97,-147.5,-141.0
25,66.4,87500,0.20817966759204865,0.433851033449173,27.414630889892578,24.933975219726562,0.97,0.97,-125.0,-117.0
26,2.847,88000,0.14371047914028168,0.048360902816057205,26.287158966064453,25.068748474121094,0.969,0.969,-10.5,-12.0
26,11.924,88500,0.012238576076924801,0.02716928906738758,25.24098014831543,25.21527862548828,0.969,0.969,25.0,5.5
26,20.813,89000,0.11602288484573364,0.021927664056420326,26.373193740844727,24.62906265258789,0.969,0.969,99.5,75.0
27,6.703,89500,0.07905092090368271,0.09946029633283615,26.38634490966797,24.194862365722656,0.968,0.968,26.5,44.5
27,16.072,90000,0.06388045847415924,0.06236059218645096,26.145750045776367,24.33452796936035,0.968,0.968,94.5,120.5
28,7.113,90500,0.050566259771585464,0.12835878133773804,26.589588165283203,24.833818435668945,0.967,0.967,5.5,-7.5
28,16.336,91000,0.14677131175994873,0.020250188186764717,25.611244201660156,24.351003646850586,0.967,0.967,73.5,47.5
29,4.759,91500,0.015912214294075966,0.17615574598312378,26.33585548400879,24.582124710083008,0.966,0.966,-19.5,-18.0
29,13.734,92000,0.02494477480649948,0.06625262647867203,26.59853172302246,25.01925277709961,0.966,0.966,9.5,53.0
29,22.664,92500,0.046193379908800125,0.10127514600753784,24.372583389282227,25.45677375793457,0.966,0.966,-5.5,38.0
29,31.554,93000,0.06318046897649765,0.09624679386615753,25.495718002319336,25.064544677734375,0.966,0.966,17.0,49.0
30,6.856,93500,0.0378204807639122,0.05974608287215233,25.359743118286133,26.607637405395508,0.964,0.964,-27.0,-27.0
30,16.117,94000,0.056710220873355865,0.23435461521148682,23.30887794494629,26.103866577148438,0.964,0.964,21.5,2.0
30,25.164,94500,0.035535652190446854,0.25458142161369324,24.13260269165039,26.63473892211914,0.964,0.964,70.0,47.0
31,5.895,95000,0.03116745501756668,0.09062323719263077,24.880878448486328,25.076047897338867,0.963,0.963,-9.5,15.0
31,14.913,95500,0.10952454060316086,0.26228001713752747,25.234867095947266,27.257003784179688,0.963,0.963,66.5,84.5
32,0.401,96000,0.014286709018051624,0.27842873334884644,25.514429092407227,29.44363784790039,0.962,0.962,-1.5,-3.0
32,9.874,96500,0.1040605753660202,0.496441513299942,23.303422927856445,30.152084350585938,0.962,0.962,34.0,47.0
32,18.823,97000,0.02148733101785183,0.35639551281929016,24.335054397583008,29.37184715270996,0.962,0.962,116.5,64.5
33,8.236,97500,0.020317014306783676,0.146371990442276,23.508012771606445,33.243629455566406,0.961,0.961,7.5,2.5
33,17.349,98000,0.12256938219070435,0.3289411962032318,24.00952911376953,30.3983211517334,0.961,0.961,90.0,85.0
34,6.533,98500,0.03796892613172531,0.09274835884571075,24.175634384155273,30.71151351928711,0.96,0.96,13.5,26.5
34,15.507,99000,0.049535371363162994,0.08373583108186722,23.82782554626465,32.28837585449219,0.96,0.96,76.5,96.0
35,3.959,99500,0.16379106044769287,0.07574549317359924,23.70114517211914,32.74211502075195,0.958,0.958,-16.5,-16.5
35,12.919,100000,0.0226462222635746,0.14054635167121887,24.723875045776367,33.478912353515625,0.958,0.958,-4.0,14.0
35,21.923,100500,0.03918714448809624,0.11887761950492859,25.657543182373047,34.208641052246094,0.958,0.958,33.0,57.5
36,1.416,101000,0.11182774603366852,0.14102451503276825,23.39922332763672,33.61264419555664,0.957,0.957,-6.0,-6.0
36,10.764,101500,0.024144480004906654,0.18721656501293182,24.636384963989258,36.1827392578125,0.957,0.957,-34.0,-27.5
36,20.028,102000,0.12590177357196808,0.09864168614149094,23.216899871826172,36.286231994628906,0.957,0.957,-3.5,22.5
37,0.017,102500,0.1235489547252655,0.2926100790500641,25.250732421875,35.84381103515625,0.956,0.956,-1.5,0.0
37,8.877,103000,0.07356942445039749,0.18648502230644226,25.00581932067871,35.716270446777344,0.956,0.956,-36.0,-36.0
37,17.849,103500,0.1886858493089676,0.738319456577301,25.864215850830078,36.091400146484375,0.956,0.956,-5.5,-38.0
37,26.866,104000,0.06457880884408951,0.17315442860126495,23.37278175354004,35.39179992675781,0.956,0.956,69.0,57.5
38,7.432,104500,0.08968143910169601,0.19110965728759766,23.171344757080078,34.92613220214844,0.955,0.955,36.5,46.5
38,16.849,105000,0.6886411309242249,0.10144565999507904,25.426965713500977,33.18312072753906,0.955,0.955,104.5,122.5
39,8.194,105500,0.13201786577701569,0.026855556294322014,25.439563751220703,33.24326705932617,0.954,0.954,-18.5,6.0
39,17.235,106000,0.0755433514714241,0.057682015001773834,25.110498428344727,33.29258346557617,0.954,0.954,25.0,43.0
40,3.078,106500,0.14581458270549774,0.02275463379919529,25.061567306518555,32.49856185913086,0.953,0.953,-7.0,-12.0
40,12.047,107000,0.02234855853021145,0.1161525696516037,25.683311462402344,31.39852523803711,0.953,0.953,4.0,-25.5
40,21.052,107500,0.11759006232023239,0.04710308834910393,25.97593879699707,31.857460021972656,0.953,0.953,39.5,57.0
40,30.301,108000,0.05515861138701439,0.04385526478290558,24.90306854248047,31.716176986694336,0.953,0.953,31.0,48.5
40,39.208,108500,0.027938663959503174,0.07273873686790466,26.10970115661621,31.33116912841797,0.953,0.953,-5.0,12.5
40,48.221,109000,0.061292391270399094,0.04065651819109917,26.972488403320312,32.10350799560547,0.953,0.953,-38.0,-20.5
40,57.262,109500,0.02599010430276394,0.12871290743350983,27.78008270263672,31.768667221069336,0.953,0.953,-74.0,-56.5
40,66.253,110000,0.11632286757230759,0.12231990694999695,28.51975440979004,32.22364807128906,0.953,0.953,-108.5,-91.0
40,75.366,110500,0.10069303959608078,0.05130751058459282,27.031286239624023,31.16971206665039,0.953,0.953,-141.5,-125.5
40,84.263,111000,0.07272696495056152,0.04610930755734444,27.24370574951172,32.446022033691406,0.953,0.953,-177.5,-161.5
41,3.614,111500,0.11240977048873901,0.01911814510822296,27.13673973083496,31.93222427368164,0.951,0.951,-15.0,-15.0
41,12.576,112000,0.08497428894042969,0.1446874737739563,27.387353897094727,31.83677101135254,0.951,0.951,22.0,54.5
42,1.464,112500,0.013182387687265873,0.09304061532020569,27.815914154052734,31.46247673034668,0.95,0.95,-6.0,-6.0
42,10.601,113000,0.3814694881439209,0.6644787788391113,26.218544006347656,30.48934555053711,0.95,0.95,-39.0,-40.5
