episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep,grad_norm_p2,rms_mean_p2,rms_std_p2
1,448,0.0,1.9309488534927368,0.0,17.597333908081055,0.997,0.997,0.0,-29.62518696724336,0.0001,1200,10.000001760831383,0.2582096607698203,0.3712946997023601
1,948,0.0,0.8559940457344055,0.0,18.971874237060547,0.997,0.997,0.0,-75.79494997344565,0.0001,1200,9.999999130037914,0.3062986059747604,0.39134721111417053
1,1448,0.0,0.6256837248802185,0.0,18.003631591796875,0.997,0.997,0.0,-123.17720274251384,0.0001,1200,9.99999960137527,0.32672105007213614,0.39511123650086233
1,1948,0.0,0.6652723550796509,0.0,17.73394012451172,0.997,0.997,0.0,-169.56501017186983,0.0001,1200,9.999999362543539,0.3433943440742256,0.396665533049454
1,2448,0.0,0.4955843389034271,0.0,17.742813110351562,0.997,0.997,0.0,-216.10161948387858,0.0001,1200,10.00000053297875,0.3566327631007953,0.3967825360282953
1,2948,0.0,0.7067891359329224,0.0,18.80929946899414,0.997,0.997,0.0,-258.93027049430833,0.0001,1200,9.999998892333037,0.3674897232608762,0.3967328055106172
1,3448,0.0,0.2415410578250885,0.0,19.503801345825195,0.997,0.997,0.0,-308.16906036160924,0.0001,1200,9.999999783550251,0.376423878576667,0.3957421902690535
1,3948,0.0,0.3719969391822815,0.0,20.608219146728516,0.997,0.997,0.0,-300.99011110076873,0.0001,1200,9.999999541373752,0.3836534138599877,0.3943590066194208
1,4448,0.0,0.43841588497161865,0.0,19.353408813476562,0.997,0.997,0.0,-210.90525315879592,0.0001,1200,10.000002106711465,0.3878871227575476,0.3929187314248583
2,533,0.0,0.2501487135887146,0.0,20.73134422302246,0.994,0.994,0.0,-36.46531210312357,0.0001,700,10.000000425489299,0.3909197880811444,0.3920571637636289
2,1033,0.0,0.6536600589752197,0.0,20.770231246948242,0.994,0.994,0.0,-83.09619809948306,0.0001,700,9.999998751160739,0.3929849472149602,0.3912737418656232
2,1533,0.0,0.15289977192878723,0.0,20.78262710571289,0.994,0.994,0.0,-126.49316392329935,0.0001,700,9.999998246085221,0.3955214383019072,0.3904802166479546
2,2033,0.0,0.20613572001457214,0.0,22.42656898498535,0.994,0.994,0.0,-172.01760207949093,0.0001,700,9.999999697888668,0.3981242099248467,0.3897494489921966
2,2533,0.0,0.7957165837287903,0.0,22.37442398071289,0.994,0.994,0.0,-217.69247260980495,0.0001,700,9.999999290086926,0.40095318203148417,0.3890503347469547
2,3033,0.0,0.14078998565673828,0.0,22.656982421875,0.994,0.994,0.0,-264.6126187519296,0.0001,700,9.9999990107126,0.403558950005706,0.38834929829534215
2,3533,0.0,0.6065417528152466,0.0,22.757213592529297,0.994,0.994,0.0,-315.17816661245314,0.0001,700,9.999999233844216,0.40609374993188757,0.3877580801128392
2,4033,0.0,0.9092803597450256,0.0,23.06886863708496,0.994,0.994,0.0,-361.1864993135721,0.0001,700,9.999998335115507,0.40842071210797154,0.38703524269226486
2,4533,0.0,0.1761351376771927,0.0,23.128849029541016,0.994,0.994,0.0,-410.0077513581489,0.0001,700,9.999999428432224,0.41081498425417085,0.38624042591632884
2,5033,0.0,0.2674258351325989,0.0,22.825712203979492,0.994,0.994,0.0,-455.3214507199747,0.0001,700,10.000000162666495,0.4132751224803088,0.38553916224721063
3,146,0.0,0.48297783732414246,0.0,23.177732467651367,0.992,0.992,0.0,-2.276987985012755,0.0001,900,10.000000161846023,0.4155625712746726,0.3848707661496243
3,646,0.0,0.35971564054489136,0.0,23.2401180267334,0.992,0.992,0.0,-27.317751442407474,0.0001,900,10.000001862617818,0.41767888374971823,0.38419392326069496
3,1146,0.0,0.40922310948371887,0.0,23.59184455871582,0.992,0.992,0.0,-74.85199984985682,0.0001,900,10.000000281627804,0.4196351138514672,0.38345835834247444
3,1646,0.0,0.07477648556232452,0.0,22.86608123779297,0.992,0.992,0.0,-121.59816466966787,0.0001,900,10.000001588714278,0.4212510301196081,0.3826972510677757
3,2146,0.0,0.3879179358482361,0.0,23.452598571777344,0.992,0.992,0.0,-162.32152200030225,0.0001,900,9.999999513962532,0.4226124933783675,0.38186125831671563
4,126,0.0,0.32063913345336914,0.0,23.458751678466797,0.989,0.989,0.0,0.49850230383234895,0.0001,1200,9.999999001037029,0.4239142832234947,0.38110069214431647
4,626,0.0,0.3287661671638489,0.0,23.242259979248047,0.989,0.989,0.0,-43.32972036948113,0.0001,1200,10.000000095351453,0.4246318034831224,0.38055472594156725
4,1126,0.0,0.14844509959220886,0.0,24.183677673339844,0.989,0.989,0.0,-24.859282967160198,0.0001,1200,9.999998655641276,0.4253201243512972,0.37998991145470223
5,270,0.0,0.06602523475885391,0.0,23.852022171020508,0.986,0.986,0.0,-14.683113758042635,0.0001,1100,10.000000131668102,0.4258525395359826,0.37949457299819617
5,770,0.0,0.11871455609798431,0.0,24.71586799621582,0.986,0.986,0.0,-60.630173035349785,0.0001,1100,10.000002624223548,0.42626135899916817,0.37914529912738865
5,1270,0.0,0.07626281678676605,0.0,24.60108184814453,0.986,0.986,0.0,-107.0790138395857,0.0001,1100,10.000001029599634,0.4266960825013126,0.37874076001626106
5,1770,0.0,0.12566840648651123,0.0,23.981216430664062,0.986,0.986,0.0,-75.05592139214993,0.0001,1100,10.000000502930249,0.4272383225571135,0.3783849943092822
5,2270,0.0,0.2252671718597412,0.0,23.735815048217773,0.986,0.986,0.0,-39.39667724188597,0.0001,1100,10.000000825459136,0.42761847264801917,0.3780714272978161
5,2770,0.0,0.09389886260032654,0.0,24.454023361206055,0.986,0.986,0.0,-79.27412580121394,0.0001,1100,7.0449965912544465,0.4278142632341648,0.37784183322549386
6,347,0.0,0.09635236114263535,0.0,23.143749237060547,0.983,0.983,0.0,-19.33320093669467,0.0001,1050,10.000000822729229,0.42792807592554044,0.3777048958359311
6,847,0.0,0.07107236236333847,0.0,22.15454864501953,0.983,0.983,0.0,-66.66059859529081,0.0001,1050,8.023722431810876,0.42797590947250147,0.3776401168252402
6,1347,0.0,0.055978525429964066,0.0,22.44911003112793,0.983,0.983,0.0,-113.05042887284506,0.0001,1050,9.999999046773969,0.4281205857848214,0.37757852318000545
6,1847,0.0,0.15014562010765076,0.0,21.22069549560547,0.983,0.983,0.0,-160.70869859317946,0.0001,1050,10.000001975728123,0.42832469267805107,0.3774959978793072
6,2347,0.0,0.059148095548152924,0.0,21.443452835083008,0.983,0.983,0.0,-206.95148154627483,0.0001,1050,9.272366052306912,0.42862266334602545,0.3773386455836009
6,2847,0.0,0.04954959452152252,0.0,20.153961181640625,0.983,0.983,0.0,-250.32533283222295,0.0001,1050,10.00000015138289,0.4289071281935977,0.37723040331745533
6,3347,0.0,0.09711630642414093,0.0,21.39822769165039,0.983,0.983,0.0,-254.55230264311038,0.0001,1050,9.999999373031873,0.4291389927985417,0.37711446485914546
7,172,0.0,0.15534323453903198,0.0,19.480409622192383,0.98,0.98,0.0,-1.0549184355795171,0.0001,1100,10.000000159828703,0.429382863145566,0.3770213108675783
7,672,0.0,0.06216666102409363,0.0,20.522323608398438,0.98,0.98,0.0,-49.63664464140334,0.0001,1100,10.000000270776027,0.42953971780216865,0.37693473152322327
7,1172,0.0,0.10532978177070618,0.0,18.80854034423828,0.98,0.98,0.0,-68.22624977621531,0.0001,1100,9.651299548745838,0.4296920389006152,0.3768288476301466
7,1672,0.0,0.19383181631565094,0.0,20.439237594604492,0.98,0.98,0.0,-60.79454112156518,0.0001,1100,10.000000831468306,0.42985189219551917,0.37667291592660784
8,379,0.0,0.02949615754187107,0.0,21.30478286743164,0.978,0.978,0.0,-22.98454239285249,0.0001,650,10.000001629408631,0.42996927251297845,0.3765600308584734
8,879,0.0,0.15951786935329437,0.0,20.20868492126465,0.978,0.978,0.0,-65.47547588098375,0.0001,650,7.235150894553895,0.43004872222003643,0.37644949921941473
8,1379,0.0,0.12520559132099152,0.0,19.45905876159668,0.978,0.978,0.0,-92.77211255250988,0.0001,650,10.000000508650393,0.430160703454447,0.3763109392451658
8,1879,0.0,0.06614673137664795,0.0,17.636699676513672,0.978,0.978,0.0,-140.88686842481073,0.0001,650,6.962104079270676,0.4302287592177787,0.376184536936352
8,2379,0.0,0.08144088834524155,0.0,18.378469467163086,0.978,0.978,0.0,-187.69706253601694,0.0001,650,5.18349413927679,0.4302861978444404,0.37604918447462354
8,2879,0.0,0.24834497272968292,0.0,17.93657112121582,0.978,0.978,0.0,-233.06965525848491,0.0001,650,10.000000845303411,0.4303618327991224,0.37589666025910373
8,3379,0.0,0.04096318781375885,0.0,18.370603561401367,0.978,0.978,0.0,-282.7634707100648,0.0001,650,9.999997656248636,0.4304136124783044,0.37574014605326134
8,3879,0.0,0.04064254090189934,0.0,18.248794555664062,0.978,0.978,0.0,-329.0505049188122,0.0001,650,9.787119866318351,0.43041666629363423,0.37558940058418555
8,4379,0.0,0.0804940015077591,0.0,17.62453842163086,0.978,0.978,0.0,-371.9743320136002,0.0001,650,9.999999197430732,0.4304702962169022,0.37541580044699446
8,4879,0.0,0.024793244898319244,0.0,18.168594360351562,0.978,0.978,0.0,-320.64739762880345,0.0001,650,10.000001538609459,0.4304718489504576,0.37525621287074773
9,370,0.0,0.0412215031683445,0.0,19.999244689941406,0.975,0.975,0.0,-19.63973645098154,0.0001,1050,9.999998126463845,0.430486008381876,0.3751413997915867
9,870,0.0,0.07276301831007004,0.0,19.01492691040039,0.975,0.975,0.0,-66.25063029883736,0.0001,1050,9.999997157097589,0.43049744957265457,0.37506218242285855
9,1370,0.0,0.029656121507287025,0.0,17.77387046813965,0.975,0.975,0.0,-110.14023126306309,0.0001,1050,5.366716847358604,0.43048933259313055,0.37494637454219415
9,1870,0.0,0.037699684500694275,0.0,16.242088317871094,0.975,0.975,0.0,-40.26194517120268,0.0001,1050,9.999999710486012,0.43052351271175876,0.3748434178766306
