episode,epsilon_p1,epsilon_p2,score_p1,score_p2,avg_duration,avg_reward_p1,avg_reward_p2,opponent_ep,episode_step,lr
1,0.997,0.997,0,1,1918,0.0,0.05702781009967733,600,1918,0.0001
2,0.994,0.994,0,2,4660,0.0,-0.041005777899251854,1200,4660,0.0001
3,0.992,0.992,0,2,5571,0.0,-0.08949979292165847,750,5571,0.0001
4,0.989,0.989,0,3,2389,0.0,-0.03787065541282005,1100,2389,0.0001
5,0.986,0.986,1,3,2911,0.0,-0.04607888352973411,1000,2911,0.0001
6,0.983,0.983,1,4,1724,0.0,-0.015523373233062005,100,1724,0.0001
7,0.98,0.98,2,4,2928,0.0,-0.04394860973037405,1200,2928,0.0001
8,0.978,0.978,2,5,1294,0.0,0.06922436289553349,350,1294,0.0001
9,0.975,0.975,3,5,3021,0.0,-0.05054800692957226,700,3021,0.0001
10,0.972,0.972,3,6,2789,0.0,-0.0459986639231764,200,2789,0.0001
11,0.969,0.969,3,7,5297,0.0,-0.05184978600893274,1050,5297,0.0001
12,0.966,0.966,4,7,4686,0.0,-0.052773994699424516,400,4686,0.0001
13,0.963,0.963,4,8,2131,0.0,-0.010330220043793813,950,2131,0.0001
14,0.961,0.961,5,8,1240,0.0,0.06945332378798538,900,1240,0.0001
15,0.958,0.958,6,8,1182,0.0,0.12050104573838437,500,1182,0.0001
16,0.955,0.955,7,8,1738,0.0,0.03399007823747261,950,1738,0.0001
17,0.952,0.952,8,8,1447,0.0,0.043250620541471455,400,1447,0.0001
18,0.949,0.949,8,9,3031,0.0,-0.037693020992699826,750,3031,0.0001
19,0.947,0.947,8,10,2311,0.0,-0.034861902272275244,250,2311,0.0001
20,0.944,0.944,9,10,1416,0.0,0.08576675872021292,700,1416,0.0001
21,0.941,0.941,9,11,1385,0.0,0.01091712894700807,850,1385,0.0001
22,0.938,0.938,10,11,2373,0.0,0.001484588437756509,650,2373,0.0001
23,0.935,0.935,10,12,1284,0.0,0.06888910891511511,850,1284,0.0001
24,0.932,0.932,10,13,1282,0.0,0.04615427502752453,600,1282,0.0001
25,0.93,0.93,10,14,2337,0.0,-0.043356597922662714,1000,2337,0.0001
26,0.927,0.927,10,15,1260,0.0,0.10517793491797184,800,1260,0.0001
27,0.924,0.924,10,16,1434,0.0,0.0029264735257350694,850,1434,0.0001
28,0.921,0.921,11,16,1163,0.0,0.04880256854926071,50,1163,0.0001
29,0.918,0.918,11,17,1505,0.0,0.059203545626310694,1000,1505,0.0001
30,0.916,0.916,12,17,1177,0.0,0.06858838979798602,200,1177,0.0001
31,0.913,0.913,12,18,1633,0.0,0.028295928886176266,650,1633,0.0001
32,0.91,0.91,12,19,1517,0.0,-0.021446002172964152,750,1517,0.0001
33,0.907,0.907,12,19,5560,0.0,-0.06762220343841996,550,5560,0.0001
34,0.904,0.904,12,19,5564,0.0,-0.07376284381057498,150,5564,0.0001
35,0.902,0.902,12,20,1555,0.0,0.005603493226848574,1050,1555,0.0001
36,0.899,0.899,13,20,1701,0.0,0.03946532712180206,650,1701,0.0001
37,0.896,0.896,14,20,1045,0.0,-0.014060409167971487,1100,1045,0.0001
38,0.893,0.893,15,20,1103,0.0,0.15425530726383924,500,1103,0.0001
39,0.89,0.89,15,21,1160,0.0,0.09761451301864342,950,1160,0.0001
40,0.887,0.887,16,21,1218,0.0,0.07797050973469156,850,1218,0.0001
41,0.885,0.885,16,22,1598,0.0,-0.007166516762005974,650,1598,0.0001
42,0.882,0.882,16,23,1175,0.0,0.08603750564016742,250,1175,0.0001
43,0.879,0.879,16,24,1104,0.0,0.14302084156160322,900,1104,0.0001
44,0.876,0.876,17,24,1284,0.0,0.08586775634491081,750,1284,0.0001
45,0.873,0.873,18,24,1097,0.0,0.07701117886549838,1150,1097,0.0001
46,0.871,0.871,18,24,5564,0.0,-0.06254279797941178,300,5564,0.0001
47,0.868,0.868,18,25,1136,0.0,0.09097844781587594,1200,1136,0.0001
48,0.865,0.865,18,26,1318,0.0,0.0980510112130986,950,1318,0.0001
49,0.862,0.862,19,26,1061,0.0,0.12176073567827618,550,1061,0.0001
50,0.859,0.859,19,26,5562,0.0,-0.07829255714637441,350,5562,0.0001
51,0.857,0.857,19,27,1116,0.0,0.03583809587536314,1200,1116,0.0001
52,0.854,0.854,19,27,5567,0.0,-0.07917347568591789,50,5567,0.0001
53,0.851,0.851,19,28,1169,0.0,0.14534960640887476,950,1169,0.0001
54,0.848,0.848,19,29,1218,0.0,0.07050226506269285,350,1218,0.0001
55,0.845,0.845,19,30,1040,0.0,0.10519200859861214,300,1040,0.0001
56,0.843,0.843,20,30,1278,0.0,0.02971399099791045,300,1278,0.0001
57,0.84,0.84,20,31,1170,0.0,0.03130863844095186,800,1170,0.0001
58,0.837,0.837,21,31,1171,0.0,0.07128773303349553,950,1171,0.0001
59,0.834,0.834,22,31,1125,0.0,0.07238541129255871,550,1125,0.0001
60,0.831,0.831,22,32,1225,0.0,0.02399258236629479,850,1225,0.0001
61,0.828,0.828,22,33,1178,0.0,0.12241681484498718,700,1178,0.0001
62,0.826,0.826,23,33,1236,0.0,0.1083896145505909,750,1236,0.0001
63,0.823,0.823,23,34,1041,0.0,0.13637136578701767,450,1041,0.0001
64,0.82,0.82,23,34,5552,0.0,-0.07859171204764612,300,5552,0.0001
65,0.817,0.817,23,35,1314,0.0,0.06349644963815276,750,1314,0.0001
66,0.814,0.814,24,35,1236,0.0,0.053771020660441746,900,1236,0.0001
67,0.812,0.812,24,36,1295,0.0,0.022248029290096134,150,1295,0.0001
68,0.809,0.809,25,36,1215,0.0,0.12179886914652208,1150,1215,0.0001
69,0.806,0.806,25,37,1301,0.0,0.046652429922902396,700,1301,0.0001
70,0.803,0.803,26,37,1970,0.0,-0.0068771716543625724,500,1970,0.0001
71,0.8,0.8,26,38,1266,0.0,0.02445691518476894,1050,1266,0.0001
72,0.797,0.797,27,38,1102,0.0,0.12951865528390058,1000,1102,0.0001
73,0.795,0.795,27,39,1358,0.0,0.030902707737893345,250,1358,0.0001
74,0.792,0.792,27,40,1163,0.0,0.0797292995248934,650,1163,0.0001
75,0.789,0.789,27,41,1031,0.0,0.11970772732537742,350,1031,0.0001
76,0.786,0.786,28,41,1118,0.0,0.09863335567396979,1000,1118,0.0001
77,0.783,0.783,28,41,5552,0.0,-0.0685888062649684,700,5552,0.0001
78,0.781,0.781,28,42,1419,0.0,-0.0026813302009563713,1150,1419,0.0001
79,0.778,0.778,29,42,1181,0.0,0.10918913014545999,650,1181,0.0001
80,0.775,0.775,30,42,1039,0.0,0.08043396647312054,550,1039,0.0001
81,0.772,0.772,31,42,1074,0.0,0.10841085307475558,700,1074,0.0001
82,0.769,0.769,32,42,983,0.0,0.09220083286389828,550,983,0.0001
83,0.767,0.767,32,43,1176,0.0,0.051232792689377984,1200,1176,0.0001
84,0.764,0.764,33,43,992,0.0,0.14169215001606875,800,992,0.0001
85,0.761,0.761,34,43,1074,0.0,0.06507833713727236,600,1074,0.0001
86,0.758,0.758,35,43,1164,0.0,0.11802035277688273,700,1164,0.0001
87,0.755,0.755,36,43,972,0.0,0.06087277310665833,600,972,0.0001
88,0.752,0.752,36,44,1298,0.0,0.16188758582148785,850,1298,0.0001
89,0.75,0.75,36,45,1798,0.0,-0.025235154680198484,700,1798,0.0001
90,0.747,0.747,36,46,1101,0.0,0.08101407363064485,650,1101,0.0001
91,0.744,0.744,37,46,1134,0.0,0.13131043272538676,250,1134,0.0001
92,0.741,0.741,38,46,1005,0.0,0.08775340040925278,350,1005,0.0001
93,0.738,0.738,39,46,1001,0.0,0.043040325729066305,50,1001,0.0001
94,0.736,0.736,40,46,1207,0.0,0.0852574516404917,600,1207,0.0001
95,0.733,0.733,40,47,1044,0.0,0.08024977290900143,150,1044,0.0001
96,0.73,0.73,41,47,1080,0.0,0.11698559877573837,500,1080,0.0001
97,0.727,0.727,41,48,1299,0.0,0.07758195229186106,750,1299,0.0001
98,0.724,0.724,41,49,1451,0.0,0.03199926708593886,500,1451,0.0001
99,0.722,0.722,42,49,1251,0.0,0.12915495964507082,900,1251,0.0001
100,0.719,0.719,43,49,1239,0.0,0.12302244258515457,50,1239,0.0001
101,0.716,0.716,44,49,1269,0.0,0.00698093414546599,0,1269,0.0001
102,0.713,0.713,44,49,5557,0.0,-0.08662424296665117,700,5557,0.0001
103,0.71,0.71,45,49,1006,0.0,0.0884183174841299,50,1006,0.0001
104,0.708,0.708,46,49,1204,0.0,0.04341753634491893,1200,1204,0.0001
105,0.705,0.705,46,50,1114,0.0,0.10353574768194414,1150,1114,0.0001
106,0.702,0.702,46,51,1168,0.0,0.03870357500560691,350,1168,0.0001
107,0.699,0.699,46,51,5563,0.0,-0.09318560993193713,800,5563,0.0001
108,0.696,0.696,47,51,1573,0.0,0.04776191351847293,1150,1573,0.0001
109,0.693,0.693,48,51,1017,0.0,0.06118917539445108,1200,1017,0.0001
110,0.691,0.691,48,52,1048,0.0,0.08367271957221463,1100,1048,0.0001
111,0.688,0.688,48,53,1150,0.0,0.0690094105900405,400,1150,0.0001
112,0.685,0.685,48,54,1042,0.0,0.06659024317269716,900,1042,0.0001
113,0.682,0.682,49,54,1135,0.0,0.0565906694054558,1150,1135,0.0001
114,0.679,0.679,50,54,1364,0.0,0.027027832624052037,1000,1364,0.0001
115,0.677,0.677,50,55,1631,0.0,0.017210387214141414,750,1631,0.0001
116,0.674,0.674,50,56,1043,0.0,0.09181043322775542,1000,1043,0.0001
117,0.671,0.671,50,57,1065,0.0,0.11618224173911368,300,1065,0.0001
118,0.668,0.668,51,57,1131,0.0,0.14177952043168207,300,1131,0.0001
119,0.665,0.665,51,58,1187,0.0,0.12097438941602176,750,1187,0.0001
120,0.662,0.662,52,58,1161,0.0,0.13177471191562198,800,1161,0.0001
121,0.66,0.66,53,58,1127,0.0,0.12021464626142306,950,1127,0.0001
122,0.657,0.657,53,59,1087,0.0,0.07868188195650486,150,1087,0.0001
123,0.654,0.654,53,60,1128,0.0,0.07420442183358453,900,1128,0.0001
124,0.651,0.651,53,60,5564,0.0,-0.06297446887798111,550,5564,0.0001
125,0.648,0.648,54,60,1093,0.0,0.10935746097022846,1050,1093,0.0001
126,0.646,0.646,54,60,5558,0.0,-0.058080908098725154,150,5558,0.0001
127,0.643,0.643,54,61,4645,0.0,-0.061060159507117046,1200,4645,0.0001
128,0.64,0.64,54,61,5564,0.0,-0.0680826010260048,600,5564,0.0001
129,0.637,0.637,54,62,1441,0.0,-0.0028898207703477647,850,1441,0.0001
130,0.634,0.634,55,62,1499,0.0,0.022286974780340706,1200,1499,0.0001
131,0.632,0.632,55,63,1769,0.0,-0.031668147925709544,700,1769,0.0001
132,0.629,0.629,56,63,1231,0.0,0.03497168805991054,300,1231,0.0001
133,0.626,0.626,57,63,1138,0.0,0.1416658685772634,900,1138,0.0001
134,0.623,0.623,57,64,1161,0.0,0.04301213780079019,850,1161,0.0001
135,0.62,0.62,57,65,3512,0.0,-0.044345229583819396,1200,3512,0.0001
136,0.617,0.617,57,66,1155,0.0,0.13438020334619744,300,1155,0.0001
137,0.615,0.615,57,67,1141,0.0,0.08867569041668348,1050,1141,0.0001
138,0.612,0.612,58,67,1104,0.0,0.092763774629653,800,1104,0.0001
139,0.609,0.609,59,67,1123,0.0,0.11542648273992799,650,1123,0.0001
140,0.606,0.606,60,67,1399,0.0,0.012959303577899718,1150,1399,0.0001
141,0.603,0.603,60,68,1070,0.0,0.0763709104597221,950,1070,0.0001
142,0.601,0.601,60,68,5563,0.0,-0.07737499708867401,1000,5563,0.0001
143,0.598,0.598,61,68,1206,0.0,-0.008148865122382862,1000,1206,0.0001
144,0.595,0.595,62,68,1183,0.0,0.03284024293903514,1100,1183,0.0001
145,0.592,0.592,62,69,1051,0.0,0.1272864900622586,200,1051,0.0001
146,0.589,0.589,63,69,1054,0.0,0.18290460756935112,550,1054,0.0001
147,0.587,0.587,63,70,1172,0.0,0.03393651919690004,450,1172,0.0001
148,0.584,0.584,64,70,983,0.0,0.09451910398884956,800,983,0.0001
149,0.581,0.581,64,71,1110,0.0,0.16410581179478884,500,1110,0.0001
150,0.578,0.578,65,71,1979,0.0,-0.02072046123829661,800,1979,0.0001
151,0.575,0.575,66,71,974,0.0,0.1285246925278406,1100,974,0.0001
152,0.573,0.573,67,71,1078,0.0,0.12855249186212647,1200,1078,0.0001
153,0.57,0.57,68,71,1201,0.0,0.030177642263237804,950,1201,0.0001
154,0.567,0.567,69,71,4334,0.0,-0.046879145122452046,250,4334,0.0001
155,0.564,0.564,70,71,1124,0.0,0.16078740686154216,100,1124,0.0001
156,0.561,0.561,71,71,1042,0.0,0.17565951601541852,100,1042,0.0001
157,0.558,0.558,71,72,1023,0.0,0.02166793594468327,1200,1023,0.0001
158,0.556,0.556,71,73,991,0.0,0.16515886332918714,1200,991,0.0001
159,0.553,0.553,72,73,1301,0.0,0.02209638232251489,1150,1301,0.0001
160,0.55,0.55,73,73,1220,0.0,0.05085806987324531,500,1220,0.0001
161,0.547,0.547,74,73,1094,0.0,0.16573293321387955,550,1094,0.0001
162,0.544,0.544,75,73,1267,0.0,0.0462414167668048,1000,1267,0.0001
163,0.542,0.542,76,73,1132,0.0,0.07494470224252779,750,1132,0.0001
164,0.539,0.539,76,74,1036,0.0,0.1567559685693824,850,1036,0.0001
165,0.536,0.536,77,74,1215,0.0,0.047265034706200686,700,1215,0.0001
166,0.533,0.533,77,75,1113,0.0,0.1517040658611163,450,1113,0.0001
167,0.53,0.53,77,76,1118,0.0,0.15434809474032704,50,1118,0.0001
168,0.527,0.527,77,77,987,0.0,0.17915671461303742,1200,987,0.0001
169,0.525,0.525,77,78,1144,0.0,0.15340513937854874,100,1144,0.0001
170,0.522,0.522,78,78,1071,0.0,0.018008418624020438,1000,1071,0.0001
171,0.519,0.519,79,78,1306,0.0,0.009277120881945522,800,1306,0.0001
172,0.516,0.516,79,79,1254,0.0,0.1648308356221843,1200,1254,0.0001
