episode,episode_step,loss_p1,loss_p2,q_p1,q_p2,eps_p1,eps_p2,reward_p1,reward_p2,lr,opponent_ep,grad_norm_p2,rms_mean_p2,rms_std_p2
1,564,0.0,1.2049351930618286,0.0,5.881894111633301,0.999,0.999,-430.08831636991096,-430.28903105016263,0.0001,550,10.000001191119281,0.3219040048010939,0.41001436495392024
1,1064,0.0,0.06366531550884247,0.0,1.8326311111450195,0.999,0.999,-855.8936361412113,-855.8092439905497,0.0001,550,2.563026262051171,0.3200578548954139,0.41165764518993014
1,1564,0.0,0.11618340760469437,0.0,0.39911192655563354,0.999,0.999,-1241.4308180077394,-1236.8376155386798,0.0001,550,4.443059430683507,0.3358509118133781,0.4110113431230969
1,2064,0.0,0.008353554643690586,0.0,-2.8309836387634277,0.999,0.999,-1606.6525403123658,-1607.9449650971235,0.0001,550,2.0200402234157075,0.3483323392322038,0.41093406849870556
1,2564,0.0,0.04574081674218178,0.0,-3.6981184482574463,0.999,0.999,-1895.3974839413743,-1896.1216447153208,0.0001,550,4.888250332480137,0.3597113761014765,0.4106431329341308
1,3064,0.0,0.041158102452754974,0.0,-6.744180202484131,0.999,0.999,-2066.3300819950314,-2066.73699786573,0.0001,550,8.79466536384868,0.3695504298241499,0.41095180606336557
1,3564,0.0,0.046945396810770035,0.0,-8.310349464416504,0.999,0.999,-2035.3622736897405,-2034.304017366849,0.0001,550,7.6075575068893855,0.3782748160149367,0.4109575785563243
1,4064,0.0,0.06125877797603607,0.0,-9.420624732971191,0.999,0.999,-1898.2073864972485,-1896.5095909065776,0.0001,550,7.98466361000189,0.38611084881347146,0.4109136208491128
1,4564,0.0,0.08218037337064743,0.0,-8.510296821594238,0.999,0.999,-1736.3022844941995,-1731.9535789273596,0.0001,550,6.970472602389581,0.3923598019125403,0.41029336316096693
1,5064,0.0,0.10407905280590057,0.0,-13.446959495544434,0.999,0.999,-1584.5331065609955,-1569.9199661111475,0.0001,550,9.999998946942593,0.39704219314545447,0.4094381071420979
2,329,0.0,0.2546691596508026,0.0,-22.68573570251465,0.999,0.999,-190.75286882265024,-190.95712880888976,0.0001,700,9.999999919520093,0.3999405057548371,0.40941861228433557
2,829,0.0,0.07811649143695831,0.0,-19.631515502929688,0.999,0.999,-579.94613838702,-574.7526913207774,0.0001,700,9.999999761732873,0.40184857159828563,0.40930296841653935
2,1329,0.0,0.17714768648147583,0.0,-15.897704124450684,0.999,0.999,-958.5289079278724,-955.7389512675555,0.0001,700,9.999999023840438,0.4031458395060612,0.4089418718492419
2,1829,0.0,0.06898173689842224,0.0,-23.013010025024414,0.999,0.999,-1259.4617300842112,-1254.8894845019338,0.0001,700,4.942214064869227,0.4039156217125692,0.40868722299776944
2,2329,0.0,0.1066979318857193,0.0,-20.87415313720703,0.999,0.999,-1465.3459146596706,-1462.125923029702,0.0001,700,9.999999621034657,0.4039278417678336,0.4084295002110787
3,342,0.0,0.051763053983449936,0.0,-30.883689880371094,0.998,0.998,-209.8325712074349,-213.04762854889304,0.0001,500,8.438615958682002,0.40316602508630894,0.40850779687747973
